k P_success_max product_FRR product_1_minus_FAR P_attacker P_failure threshold_min threshold_max threshold_spread
1 0.717948717949 0.282051282051 1.000000000000 0.000000000000 0.282051282051 28.749999999996 28.749999999996 0.000000000000e+00
2 0.920447074287 0.079552925710 0.999999999997 0.000000000003 0.079552925713 28.749999999917 28.750000001260 1.343039457424e-09
3 0.977561995313 0.022438004687 1.000000000000 0.000000000000 0.022438004687 28.750000000000 28.750000000000 0.000000000000e+00
4 0.993671332011 0.006328667989 1.000000000000 0.000000000000 0.006328667989 28.750000000000 28.750000000000 0.000000000000e+00
5 0.998214991080 0.001785008920 1.000000000000 0.000000000000 0.001785008920 28.750000000000 28.750000000000 0.000000000000e+00
6 0.999496535946 0.000503464054 1.000000000000 0.000000000000 0.000503464054 28.750000000000 28.750000000000 0.000000000000e+00
7 0.999857997318 0.000142002682 1.000000000000 0.000000000000 0.000142002682 28.750000000001 28.750000000001 0.000000000000e+00
8 0.999959947961 0.000040052039 1.000000000000 0.000000000000 0.000040052039 28.750000000002 28.750000000002 0.000000000000e+00
9 0.999988703271 0.000011296729 1.000000000000 0.000000000000 0.000011296729 28.750000000000 28.750000000000 0.000000000000e+00
10 0.999996813743 0.000003186257 1.000000000000 0.000000000000 0.000003186257 28.750000000004 28.750000000004 0.000000000000e+00
