k P_success_max product_FRR product_1_minus_FAR P_attacker P_failure threshold_min threshold_max threshold_spread
1 0.727415161892 0.238469838697 0.955202037759 0.044797962241 0.272584838108 13.459742848732 13.459742848732 0.000000000000e+00
2 0.898653194306 0.083642295072 0.980679476446 0.019320523554 0.101346805694 16.632838135127 16.632838551007 4.158804784993e-07
3 0.957260363722 0.033792076752 0.990739509260 0.009260490740 0.042739636278 18.615838964388 18.615838964388 0.000000000000e+00
4 0.980317566146 0.015038416103 0.995285077280 0.004714922720 0.019682433854 20.118911186357 20.118917828376 6.642019027225e-06
5 0.990305357423 0.007198300681 0.997485558397 0.002514441603 0.009694642577 21.349053926467 21.349093438810 3.951234311117e-05
6 0.994960930454 0.003650360266 0.998606202859 0.001393797141 0.005039069546 22.398260892028 22.398316392987 5.550095903217e-05
7 0.997261936930 0.001940773044 0.999201159607 0.000798840393 0.002738063070 23.316563225770 23.316681071586 1.178458153923e-04
8 0.998455456972 0.001073672966 0.999528623835 0.000471376165 0.001544543028 24.135054510172 24.135365708892 3.111987206026e-04
9 0.999100246531 0.000614496943 0.999714568077 0.000285431923 0.000899753469 24.874396433865 24.874859040160 4.626062943878e-04
10 0.999460969474 0.000362197229 0.999823102632 0.000176897368 0.000539030526 25.549187261129 25.549641008123 4.537469934967e-04
