k_user k_attacker P_success_max thresholds_opt FARs_opt FRRs_opt product_FRR_user product_1_minus_FAR_attacker P_user_success P_attacker_rejected P_attacker_success mean_user_attempts_given_success
10 2 1.0000000000 98.750000,85.167891,1.250000,40.482790,1.250000,1.250000,1.250000,12.246166,1.250000,15.941121 0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.1543269656,1.0000000000,0.0607245091 1.0000000000,0.9904432095,0.0012404561,0.7052349972,0.0012404561,0.0012404561,0.0012404561,0.2797712141,0.0012404561,0.3779466151 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.9925393397
1 3 0.6093306371 11.898096,30.027265,30.027265 0.1661759892,0.0000000000,0.0000000000 0.2692335202,0.5923339219,0.5923339219 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 3 0.7719910760 18.050000,18.050000,55.800369 0.0303914328,0.0303914319,0.0000000000 0.4229135512,0.4229135530,0.8868406788 0.1788558726 0.9401407745 0.8211441274 0.9401407745 0.0598592255 1.2972166158
3 3 0.8621777858 20.550000,20.550000,20.550000 0.0114607997,0.0114607997,0.0114607997 0.4754633126,0.4754633126,0.4754633126 0.1074857857 0.9660101453 0.8925142143 0.9660101453 0.0339898547 1.5451533376
4 3 0.9997482284 29.450004,29.450002,29.450009,1.250000 0.0000005456,0.0000005456,0.0000005456,1.0000000000 0.5864052209,0.5864051986,0.5864052711,0.0012404561 0.0002501353 0.9999983633 0.9997498647 0.9999983633 0.0000016367 2.1314567105
5 3 0.9999996814 29.950000,29.950000,29.950001,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000 0.5915735614,0.5915735614,0.5915735716,0.0012404561,0.0012404561 0.0000003186 1.0000000000 0.9999996814 1.0000000000 0.0000000000 2.1488153996
6 3 0.9999999996 29.953179,29.956397,29.950703,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5916048505,0.5916365100,0.5915804750,0.0012404561,0.0012404561,0.0012404561 0.0000000004 1.0000000000 0.9999999996 1.0000000000 0.0000000000 2.1489391051
7 3 1.0000000000 29.950354,29.954439,29.950117,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5915770467,0.5916172492,0.5915747088,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.1488649462
8 3 1.0000000000 29.990006,29.990006,29.990010,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5919672615,0.5919672615,0.5919672980,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.1500904220
9 3 1.0000000000 29.984561,29.984561,29.984559,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5919136766,0.5919136766,0.5919136544,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.1499169812
10 3 1.0000000000 32.194234,32.194234,32.194238,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.6116394090,0.6116394090,0.6116394454,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.2148423732
1 4 0.6093306371 11.898096,31.582824,31.582824,31.582824 0.1661759892,0.0000000000,0.0000000000,0.0000000000 0.2692335202,0.6059938407,0.6059938407,0.6059938408 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 4 0.7719910760 18.050000,18.050000,81.138498,54.762007 0.0303914329,0.0303914305,0.0000000000,0.0000000000 0.4229135510,0.4229135557,0.9877492968,0.8778039303 0.1788558736 0.9401407757 0.8211441264 0.9401407757 0.0598592243 1.2972166147
3 4 0.8621777858 20.550000,20.549999,20.549999,44.979801 0.0114607998,0.0114608024,0.0114608073,0.0000000000 0.4754633124,0.4754633019,0.4754632825,0.7636571913 0.1074857764 0.9660101352 0.8925142236 0.9660101352 0.0339898648 1.5451533467
4 4 0.9135716039 22.250000,22.250000,22.250000,22.250000 0.0053551339,0.0053551339,0.0053551339,0.0053551339 0.5079949525,0.5079949525,0.5079949525,0.5079949525 0.0665943813 0.9787509156 0.9334056187 0.9787509156 0.0212490844 1.7471170847
5 4 0.9998514954 29.550000,29.550000,29.550000,29.550000,1.250000 0.0000001885,0.0000001885,0.0000001885,0.0000001885,1.0000000000 0.5874718381,0.5874718381,0.5874718376,0.5874718376,0.0012404561 0.0001477507 0.9999992460 0.9998522493 0.9999992460 0.0000007540 2.2540494155
