k_user k_attacker P_success_max thresholds_opt FARs_opt FRRs_opt product_FRR_user product_1_minus_FAR_attacker P_user_success P_attacker_rejected P_attacker_success mean_user_attempts_given_success
9 7 0.9999999610 29.950014,29.950014,29.950014,29.950010,29.950013,29.950014,29.950014,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000 0.5915736967,0.5915736967,0.5915736989,0.5915736577,0.5915736906,0.5915737008,0.5915736963,0.0012404561,0.0012404561 0.0000000390 1.0000000000 0.9999999610 1.0000000000 0.0000000000 2.4117287037
10 7 1.0000000000 29.957952,29.957952,29.957952,29.957951,29.957950,29.957949,29.957950,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5916518140,0.5916518140,0.5916518125,0.5916518042,0.5916517981,0.5916517833,0.5916517928,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.4121515694
1 8 0.6093306371 11.898096,33.950480,33.950480,33.950480,33.950479,33.950480,33.950480,33.950480 0.1661759892,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.2692335202,0.6317159102,0.6317159033,0.6317159033,0.6317159007,0.6317159079,0.6317159056,0.6317159099 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 8 0.7719910760 18.050000,18.050000,54.171940,40.703431,36.426915,48.066506,38.761312,93.211178 0.0303914329,0.0303914336,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.4229135509,0.4229135496,0.8732977530,0.7073507246,0.6581681265,0.7992612436,0.6852214911,0.9972054016 0.1788558710 0.9401407727 0.8211441290 0.9401407727 0.0598592273 1.2972166168
3 8 0.8621777858 20.549999,20.550000,20.550000,74.959712,58.374086,32.683221,56.002370,69.606173 0.0114608056,0.0114607997,0.0114608000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.4754632891,0.4754633126,0.4754633114,0.9805845756,0.9058647063,0.6166829407,0.8887441415,0.9669588253 0.1074857801 0.9660101392 0.8925142199 0.9660101392 0.0339898608 1.5451533079
4 8 0.9135716039 22.249999,22.250000,22.250000,22.250000,92.690614,46.715085,71.785686,41.372816 0.0053551354,0.0053551337,0.0053551334,0.0053551333,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.5079949419,0.5079949543,0.5079949567,0.5079949570,0.9967104103,0.7839588107,0.9758578173,0.7134143827 0.0665943813 0.9787509155 0.9334056187 0.9787509155 0.0212490845 1.7471170672
5 8 0.9436796883 23.350000,23.350000,23.350000,23.349999,23.349999,37.566394,71.823634,47.610504 0.0033882683,0.0033882682,0.0033882678,0.0033882690,0.0033882694,0.0000000000,0.0000000000,0.0000000000 0.5257495106,0.5257495124,0.5257495178,0.5257495025,0.5257494973,0.6702033712,0.9760044152,0.7939299403 0.0401693103 0.9831730726 0.9598306897 0.9831730726 0.0168269274 1.8993382776
6 8 0.9630459723 27.750015,27.750015,27.750010,27.750010,27.750013,27.750010,31.564751,31.564751 0.0005956854,0.0005956854,0.0005956883,0.0005956884,0.0005956869,0.0005956885,0.0000000000,0.0000000000 0.5677857872,0.5677857872,0.5677857395,0.5677857370,0.5677857616,0.5677857365,0.6058367034,0.6058367034 0.0335047953 0.9964311956 0.9664952047 0.9964311956 0.0035688044 2.1056697883
7 8 0.9779031293 28.550003,28.550001,28.550000,28.550001,28.550000,28.550000,28.550002,82.075807 0.0001456014,0.0001456024,0.0001456026,0.0001456023,0.0001456025,0.0001456024,0.0001456016,0.0000000000 0.5762495620,0.5762495348,0.5762495282,0.5762495360,0.5762495313,0.5762495330,0.5762495563,0.9885054056 0.0210995962 0.9989812298 0.9789004038 0.9989812298 0.0010187702 2.2089987818
8 8 0.9868938471 28.850000,28.850000,28.850000,28.850000,28.850000,28.850000,28.850000,28.850000 0.0000447963,0.0000447963,0.0000447963,0.0000447963,0.0000447963,0.0000447963,0.0000447963,0.0000447963 0.5796942930,0.5796942930,0.5796942930,0.5796942930,0.5796942930,0.5796942930,0.5796942930,0.5796942930 0.0127524080 0.9996416857 0.9872475920 0.9996416857 0.0003583143 2.2758835485
9 8 0.9999817769 29.749999,29.749999,29.749999,29.749999,29.749999,29.749999,29.749999,29.749999,1.250000 0.0000000149,0.0000000149,0.0000000149,0.0000000149,0.0000000149,0.0000000149,0.0000000149,0.0000000149,1.0000000000 0.5895557464,0.5895557464,0.5895557456,0.5895557473,0.5895557473,0.5895557488,0.5895557481,0.5895557485,0.0012404561 0.0000181042 0.9999998812 0.9999818958 0.9999998812 0.0000001188 2.4153014610
10 8 0.9999999769 29.950009,29.950009,29.950009,29.950014,29.950010,29.950015,29.950005,29.950009,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000 0.5915736524,0.5915736524,0.5915736512,0.5915737033,0.5915736623,0.5915737073,0.5915736149,0.5915736533,0.0012404561,0.0012404561 0.0000000231 1.0000000000 0.9999999769 1.0000000000 0.0000000000 2.4267150338
1 9 0.6093306371 11.898096,40.584859,40.584859,40.584859,40.584859,40.584859,40.584859,40.584859,40.584859 0.1661759892,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.2692335202,0.7062260399,0.7062260403,0.7062260403,0.7062260400,0.7062260374,0.7062260374,0.7062260374,0.7062260374 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 9 0.7719910760 18.050000,18.050000,39.617210,42.725720,82.908068,32.388827,75.008791,92.233862,66.244419 0.0303914329,0.0303914318,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.4229135509,0.4229135531,0.6959362266,0.7288298459,0.9891047253,0.6135896477,0.9806048695,0.9962392727,0.9544647034 0.1788558725 0.9401407744 0.8211441275 0.9401407744 0.0598592256 1.2972166155
3 9 0.8621777858 20.549999,20.550000,20.550000,47.118829,55.664737,35.707295,56.299281,32.704703,36.802072 0.0114608039,0.0114608018,0.0114608007,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.4754632960,0.4754633042,0.4754633088,0.7883737575,0.8855821453,0.6512672857,0.8915516830,0.6169156588,0.6618821426 0.1074857792 0.9660101382 0.8925142208 0.9660101382 0.0339898618 1.5451533163
4 9 0.9135716039 22.250000,22.250000,22.250000,22.250000,43.747737,78.993439,90.321121,33.537163,40.159942 0.0053551329,0.0053551345,0.0053551335,0.0053551339,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.5079949600,0.5079949487,0.5079949557,0.5079949525,0.7446712991,0.9847656526,0.9940336135,0.6265986713,0.7019561965 0.0665943822 0.9787509165 0.9334056178 0.9787509165 0.0212490835 1.7471170945
5 9 0.9436796883 23.349999,23.350000,23.350000,23.350000,23.349999,35.388318,74.595889,55.216279,55.394713 0.0033882684,0.0033882683,0.0033882678,0.0033882678,0.0033882687,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.5257495095,0.5257495108,0.5257495173,0.5257495178,0.5257495061,0.6480538229,0.9804341253,0.8815849328,0.8831445139 0.0401693119 0.9831730742 0.9598306881 0.9831730742 0.0168269258 1.8993382706
6 9 0.9630459723 27.750006,27.750006,27.750006,27.750030,27.750030,27.750030,50.000000,50.000000,50.000000 0.0005956911,0.0005956911,0.0005956909,0.0005956764,0.0005956764,0.0005956764,0.0000000000,0.0000000000,0.0000000000 0.5677856939,0.5677856939,0.5677856962,0.5677859340,0.5677859347,0.5677859337,0.8242202082,0.8242202082,0.8242202082 0.0335048152 0.9964312161 0.9664951848 0.9964312161 0.0035687839 2.1056694343
7 9 0.9779031293 28.550000,28.550000,28.550000,28.550002,28.550001,28.550001,28.550001,57.754177,72.289102 0.0001456026,0.0001456028,0.0001456024,0.0001456018,0.0001456020,0.0001456021,0.0001456021,0.0000000000,0.0000000000 0.5762495298,0.5762495235,0.5762495333,0.5762495502,0.5762495454,0.5762495431,0.5762495419,0.9027583408,0.9775877862 0.0210995956 0.9989812293 0.9789004044 0.9989812293 0.0010187707 2.2089987069
8 9 0.9868938470 28.849998,28.849993,28.849997,28.849989,28.849987,28.850000,28.849999,28.849997,39.692870 0.0000447970,0.0000447981,0.0000447970,0.0000447992,0.0000447997,0.0000447963,0.0000447966,0.0000447970,0.0000000000 0.5796942643,0.5796942115,0.5796942616,0.5796941639,0.5796941401,0.5796942924,0.5796942791,0.5796942627,0.6968129673 0.0127523977 0.9996416752 0.9872476023 0.9996416752 0.0003583248 2.2758833193
9 9 0.9922383529 28.950000,28.950000,28.950000,28.950000,28.950000,28.950000,28.950000,28.950000,28.950000 0.0000264667,0.0000264667,0.0000264667,0.0000264667,0.0000264667,0.0000264667,0.0000264667,0.0000264667,0.0000264667 0.5808419502,0.5808419502,0.5808419502,0.5808419502,0.5808419502,0.5808419502,0.5808419502,0.5808419502,0.5808419502 0.0075252646 0.9997618252 0.9924747354 0.9997618252 0.0002381748 2.3174940164
10 9 0.9999891929 29.750034,29.750034,29.750034,29.750034,29.750034,29.750034,29.750034,29.750034,29.750034,1.250000 0.0000000148,0.0000000148,0.0000000148,0.0000000148,0.0000000148,0.0000000148,0.0000000148,0.0000000148,0.0000000148,1.0000000000 0.5895560979,0.5895560979,0.5895560979,0.5895560979,0.5895560978,0.5895560978,0.5895560978,0.5895560978,0.5895560978,0.0012404561 0.0000106735 0.9999998664 0.9999893265 0.9999998664 0.0000001336 2.4239462759
1 10 0.6093306371 11.898096,64.715578,47.533584,96.381076,50.353051,76.020920,36.385951,82.344719,29.954172,33.984275 0.1661759892,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.2692335202,0.9459622740,0.7930471099,0.9992698613,0.8292878747,0.9810284961,0.6577745649,0.9887053844,0.5916146160,0.6321311455 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 10 0.7719910760 18.050000,18.050000,68.177886,46.845821,32.968238,60.755628,47.333613,41.919274,52.824337,35.362105 0.0303914323,0.0303914321,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.4229135521,0.4229135525,0.9631806477,0.7853737730,0.6198408167,0.9196892152,0.7907759861,0.7188670548,0.8626224735,0.6477841287 0.1788558727 0.9401407747 0.8211441273 0.9401407747 0.0598592253 1.2972166168
3 10 0.8621777858 20.550000,20.550000,20.549999,30.109151,46.165828,30.139090,71.369350,97.950718,47.966444,65.143769 0.0114607998,0.0114608009,0.0114608028,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.4754633122,0.4754633079,0.4754633004,0.5931299776,0.7780769698,0.5934196508,0.9741021446,1.0000000000,0.7980765159,0.9481675201 0.1074857818 0.9660101410 0.8925142182 0.9660101410 0.0339898590 1.5451533408
4 10 0.9135716039 22.250000,22.250000,22.250000,22.250000,30.494581,30.494581,30.494581,30.494581,30.494581,30.494581 0.0053551333,0.0053551333,0.0053551336,0.0053551339,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.5079949567,0.5079949567,0.5079949550,0.5079949530,0.5967308035,0.5967308015,0.5967308026,0.5967308046,0.5967308047,0.5967308057 0.0665943828 0.9787509171 0.9334056172 0.9787509171 0.0212490829 1.7471170932
5 10 0.9436796883 23.350000,23.350000,23.350000,23.350000,23.349999,48.816437,46.497669,30.603181,70.794164,53.239831 0.0033882680,0.0033882679,0.0033882678,0.0033882683,0.0033882687,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.5257495147,0.5257495156,0.5257495178,0.5257495107,0.5257495061,0.8084236158,0.7816279442,0.5977015789,0.9714738612,0.8663872135 0.0401693122 0.9831730745 0.9598306878 0.9831730745 0.0168269255 1.8993382843
6 10 0.9630459723 27.750016,27.750016,27.750016,27.750016,27.750012,27.750014,31.883972,31.883972,31.883971,31.883971 0.0005956852,0.0005956852,0.0005956850,0.0005956851,0.0005956876,0.0005956864,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.5677857903,0.5677857903,0.5677857936,0.5677857915,0.5677857514,0.5677857706,0.6086846083,0.6086846086,0.6086846054,0.6086846021 0.0335048035 0.9964312040 0.9664951965 0.9964312040 0.0035687960 2.1056698153
7 10 0.9779031293 28.550001,28.549999,28.550000,28.550000,28.550001,28.550000,28.550000,76.437514,38.341420,70.056087 0.0001456023,0.0001456029,0.0001456024,0.0001456024,0.0001456024,0.0001456024,0.0001456026,0.0000000000,0.0000000000,0.0000000000 0.5762495382,0.5762495226,0.5762495340,0.5762495333,0.5762495353,0.5762495335,0.5762495286,0.9812401673,0.6797178835,0.9684771118 0.0210995941 0.9989812278 0.9789004059 0.9989812278 0.0010187722 2.2089987246
8 10 0.9868938470 28.849997,28.849999,28.849994,28.850000,28.849999,28.849997,28.849974,28.849987,47.555814,70.613712 0.0000447971,0.0000447967,0.0000447978,0.0000447963,0.0000447966,0.0000447972,0.0000448029,0.0000447997,0.0000000000,0.0000000000 0.5796942585,0.5796942765,0.5796942267,0.5796942920,0.5796942789,0.5796942531,0.5796939988,0.5796941403,0.7933012817,0.9706855923 0.0127523944 0.9996416718 0.9872476056 0.9996416718 0.0003583282 2.2758834546
9 10 0.9922383528 28.950000,28.950000,28.950001,28.950001,28.949999,28.949999,28.950000,28.950000,28.950000,56.730220 0.0000264667,0.0000264667,0.0000264666,0.0000264666,0.0000264669,0.0000264668,0.0000264667,0.0000264666,0.0000264667,0.0000000000 0.5808419509,0.5808419494,0.5808419585,0.5808419567,0.5808419353,0.5808419440,0.5808419502,0.5808419548,0.5808419507,0.8954213450 0.0075252646 0.9997618251 0.9924747354 0.9997618251 0.0002381749 2.3174940221
10 10 0.9953983572 29.050000,29.050000,29.050000,29.050000,29.050000,29.050000,29.050000,29.050000,29.050000,29.050000 0.0000144802,0.0000144802,0.0000144802,0.0000144802,0.0000144802,0.0000144802,0.0000144802,0.0000144802,0.0000144802,0.0000144802 0.5819813883,0.5819813883,0.5819813883,0.5819813883,0.5819813883,0.5819813883,0.5819813883,0.5819813883,0.5819813883,0.5819813883 0.0044574960 0.9998552078 0.9955425040 0.9998552078 0.0001447922 2.3474634394
