T FAR_uniform FRR_uniform FAR_quadratic FRR_quadratic
11.000000 0.645455 0.100000 0.196756 0.161216
11.100000 0.641818 0.101026 0.190857 0.162182
11.200000 0.638182 0.102051 0.185021 0.163149
11.300000 0.634545 0.103077 0.179248 0.164119
11.400000 0.630909 0.104103 0.173540 0.165091
11.500000 0.627273 0.105128 0.167899 0.166065
11.600000 0.623636 0.106154 0.162325 0.167041
11.700000 0.620000 0.107179 0.156821 0.168019
11.800000 0.616364 0.108205 0.151387 0.168999
11.900000 0.612727 0.109231 0.146025 0.169981
12.000000 0.609091 0.110256 0.140736 0.170965
12.100000 0.605455 0.111282 0.135522 0.171952
12.200000 0.601818 0.112308 0.130385 0.172940
12.300000 0.598182 0.113333 0.125324 0.173930
12.400000 0.594545 0.114359 0.120343 0.174923
12.500000 0.590909 0.115385 0.115441 0.175917
12.600000 0.587273 0.116410 0.110622 0.176913
12.700000 0.583636 0.117436 0.105885 0.177912
12.800000 0.580000 0.118462 0.101232 0.178912
12.900000 0.576364 0.119487 0.096665 0.179915
13.000000 0.572727 0.120513 0.092185 0.180919
13.100000 0.569091 0.121538 0.087794 0.181925
13.200000 0.565455 0.122564 0.083492 0.182933
13.300000 0.561818 0.123590 0.079282 0.183944
13.400000 0.558182 0.124615 0.075164 0.184956
13.500000 0.554545 0.125641 0.071140 0.185970
13.600000 0.550909 0.126667 0.067211 0.186986
13.700000 0.547273 0.127692 0.063379 0.188004
13.800000 0.543636 0.128718 0.059645 0.189024
13.900000 0.540000 0.129744 0.056011 0.190046
14.000000 0.536364 0.130769 0.052477 0.191069
14.100000 0.532727 0.131795 0.049045 0.192095
14.200000 0.529091 0.132821 0.045717 0.193122
14.300000 0.525455 0.133846 0.042494 0.194152
14.400000 0.521818 0.134872 0.039377 0.195183
14.500000 0.518182 0.135897 0.036368 0.196216
14.600000 0.514545 0.136923 0.033468 0.197251
14.700000 0.510909 0.137949 0.030678 0.198288
14.800000 0.507273 0.138974 0.028000 0.199327
14.900000 0.503636 0.140000 0.025435 0.200367
15.000000 0.500000 0.141026 0.022984 0.201410
15.100000 0.496364 0.142051 0.020650 0.202454
15.200000 0.492727 0.143077 0.018433 0.203500
15.300000 0.489091 0.144103 0.016334 0.204548
15.400000 0.485455 0.145128 0.014355 0.205597
15.500000 0.481818 0.146154 0.012498 0.206649
15.600000 0.478182 0.147179 0.010764 0.207702
15.700000 0.474545 0.148205 0.009153 0.208757
15.800000 0.470909 0.149231 0.007669 0.209814
15.900000 0.467273 0.150256 0.006311 0.210872
16.000000 0.463636 0.151282 0.005081 0.211932
16.100000 0.460000 0.152308 0.003981 0.212994
16.200000 0.456364 0.153333 0.003012 0.214058
16.300000 0.452727 0.154359 0.002175 0.215124
16.400000 0.449091 0.155385 0.001472 0.216191
16.500000 0.445455 0.156410 0.000904 0.217260
16.600000 0.441818 0.157436 0.000473 0.218331
16.700000 0.438182 0.158462 0.000179 0.219403
