family,P_safe,P_leak,P_loss,P_theft,max_AND,max_OR,eer_AND,eer_OR,best_kind,best_max,eer_of_maximal_config,best_threshold,failure_improvement_ratio
decrease_leak,0.6,0.3,0.05,0.05,0.7114197268246314,0.6215992190656158,0.6485897922271351,0.4971945016981519,AND,0.7114197268246314,0.6485897922271351,5.350000000000003,0.17879370948184473
decrease_leak,0.61,0.29,0.05,0.05,0.7158208166766289,0.6315653363879113,0.6503159046658483,0.5049764257580245,AND,0.7158208166766289,0.6503159046658483,5.2500000000000036,0.18732596902408524
decrease_leak,0.62,0.28,0.05,0.05,0.7202881749268605,0.6415314537102069,0.6520420171045617,0.512758349817897,AND,0.7202881749268605,0.6520420171045617,5.150000000000004,0.1961333298187524
decrease_leak,0.63,0.27,0.05,0.05,0.7248238970281121,0.6514975710325026,0.6537681295432749,0.5205402738777697,AND,0.7248238970281121,0.6537681295432749,5.050000000000003,0.20522595852052952
decrease_leak,0.64,0.26,0.05,0.05,0.729436062090878,0.6614636883547982,0.6554942419819882,0.5283221979376422,AND,0.729436062090878,0.6554942419819882,5.050000000000003,0.21463159435792023
decrease_leak,0.65,0.25,0.05,0.05,0.7341226064950809,0.6714298056770938,0.6572203544207015,0.5361041219975149,AND,0.7341226064950809,0.6572203544207015,4.950000000000003,0.22434894564528293
decrease_leak,0.66,0.24,0.05,0.05,0.7388821759232621,0.6813968266016153,0.6589464668594147,0.5438860460573874,AND,0.7388821759232621,0.6589464668594147,4.850000000000003,0.23437877428731163
decrease_leak,0.67,0.23,0.05,0.05,0.7437167337986625,0.6913640307440163,0.6606725792981281,0.55166797011726,AND,0.7437167337986625,0.6606725792981281,4.7500000000000036,0.24473163509381063
decrease_leak,0.68,0.22,0.05,0.05,0.7486281614442563,0.7013312348864175,0.6623986917368413,0.5594498941771326,AND,0.7486281614442563,0.6623986917368413,4.650000000000003,0.2554180555491197
decrease_leak,0.69,0.21,0.05,0.05,0.7536182075860669,0.7112984390288184,0.6641248041755544,0.5672318182370052,AND,0.7536182075860669,0.6641248041755544,4.5500000000000025,0.26644838476637217
decrease_leak,0.7,0.2,0.05,0.05,0.7586883958542048,0.7212656431712194,0.6658509166142678,0.5750137422968779,AND,0.7586883958542048,0.6658509166142678,4.450000000000003,0.2778325120609954
decrease_leak,0.71,0.19,0.05,0.05,0.7638398889788836,0.7312328473136205,0.667577029052981,0.5827956663567504,AND,0.7638398889788836,0.667577029052981,4.350000000000003,0.28957944648549805
decrease_leak,0.72,0.18,0.05,0.05,0.7690733509185091,0.7412009230671364,0.6693031414916942,0.590577590416623,AND,0.7690733509185091,0.6693031414916942,4.250000000000003,0.3016968769429937
decrease_leak,0.73,0.17,0.05,0.05,0.7743889181305603,0.751169109257317,0.6710292539304076,0.5983595144764955,AND,0.7743889181305603,0.6710292539304076,4.150000000000002,0.3141910502227071
decrease_leak,0.74,0.16,0.05,0.05,0.7797864517700146,0.7611601003942958,0.6727553663691207,0.6061414385363681,AND,0.7797864517700146,0.6727553663691207,4.0500000000000025,0.32706750363894826
