score genuine_cdf impostor_cdf
0.0000000000 0.0000000000 0.0125000000
0.0028638378 0.0000000000 0.0136363636
0.0084755920 0.0000000000 0.0147727273
0.0262772366 0.0000000000 0.0159090909
0.0446727694 0.0000000000 0.0170454545
0.0466025823 0.0000000000 0.0181818182
0.0520055685 0.0000000000 0.0193181818
0.0567839131 0.0000000000 0.0204545455
0.0567888645 0.0000000000 0.0215909091
0.0687864763 0.0000000000 0.0227272727
0.0887025328 0.0000000000 0.0238636364
0.0960160098 0.0000000000 0.0250000000
0.1016923299 0.0000000000 0.0261363636
0.1076792114 0.0000000000 0.0272727273
0.1116332885 0.0000000000 0.0284090909
0.1215689319 0.0000000000 0.0295454545
0.1236269641 0.0000000000 0.0306818182
0.1238594122 0.0000000000 0.0318181818
0.1283089293 0.0000000000 0.0329545455
0.1310382031 0.0000000000 0.0340909091
0.1405962011 0.0000000000 0.0352272727
0.1503107408 0.0000000000 0.0363636364
0.1514134334 0.0000000000 0.0375000000
0.1526140266 0.0000000000 0.0386363636
0.1628241610 0.0000000000 0.0397727273
0.1628430672 0.0000000000 0.0409090909
0.1633202390 0.0000000000 0.0420454545
0.1640638724 0.0000000000 0.0431818182
0.1642633998 0.0000000000 0.0443181818
0.1653938929 0.0000000000 0.0454545455
0.1661073746 0.0000000000 0.0465909091
0.1709817967 0.0000000000 0.0477272727
0.1719160078 0.0000000000 0.0488636364
0.1732104334 0.0000000000 0.0500000000
0.1769788732 0.0000000000 0.0511363636
0.1787275794 0.0000000000 0.0522727273
0.1807956088 0.0000000000 0.0534090909
0.1847511804 0.0000000000 0.0545454545
0.1871152515 0.0000000000 0.0556818182
0.1873570048 0.0000000000 0.0568181818
0.1897977790 0.0000000000 0.0579545455
0.1901022543 0.0000000000 0.0590909091
0.1922791144 0.0000000000 0.0602272727
0.1936767770 0.0000000000 0.0613636364
0.1969677299 0.0000000000 0.0625000000
0.1970928066 0.0000000000 0.0636363636
0.2008573132 0.0000000000 0.0647727273
0.2067654939 0.0000000000 0.0659090909
0.2094802115 0.0000000000 0.0670454545
0.2173663405 0.0000000000 0.0681818182
0.2174040749 0.0000000000 0.0693181818
0.2188562734 0.0000000000 0.0704545455
0.2190711236 0.0000000000 0.0715909091
0.2203849408 0.0000000000 0.0727272727
0.2236476344 0.0000000000 0.0738636364
0.2237073144 0.0000000000 0.0750000000
0.2239330061 0.0000000000 0.0761363636
0.2248454733 0.0000000000 0.0772727273
0.2293500387 0.0000000000 0.0784090909
0.2431438544 0.0000000000 0.0795454545
0.2476402239 0.0000000000 0.0806818182
0.2478489538 0.0000000000 0.0818181818
0.2489286444 0.0000000000 0.0829545455
0.2501897419 0.0000000000 0.0840909091
0.2531003262 0.0000000000 0.0852272727
0.2555742929 0.0000000000 0.0863636364
0.2573749188 0.0000000000 0.0875000000
0.2583160586 0.0000000000 0.0886363636
0.2608310945 0.0000000000 0.0897727273
0.2609188651 0.0000000000 0.0909090909
0.2618316383 0.0000000000 0.0920454545
0.2706288156 0.0000000000 0.0931818182
0.2723298454 0.0000000000 0.0943181818
0.2769480740 0.0000000000 0.0954545455
0.2775952600 0.0000000000 0.0965909091
0.2782080998 0.0000000000 0.0977272727
0.2802551872 0.0000000000 0.0988636364
0.2874350956 0.0000000000 0.1000000000
0.2875550243 0.0000000000 0.1011363636
0.2880323000 0.0000000000 0.1022727273
0.2881627944 0.0000000000 0.1034090909
0.2882767869 0.0000000000 0.1045454545
0.2900041071 0.0000000000 0.1056818182
0.3000295464 0.0000000000 0.1068181818
0.3013296896 0.0000000000 0.1079545455
0.3013603307 0.0000000000 0.1090909091
0.3105019687 0.0000000000 0.1102272727
0.3108016560 0.0000000000 0.1113636364
0.3137077023 0.0000000000 0.1125000000
0.3166915621 0.0000000000 0.1136363636
0.3218694434 0.0000000000 0.1147727273
0.3352196682 0.0000000000 0.1159090909
0.3360988189 0.0000000000 0.1170454545
0.3362212152 0.0000000000 0.1181818182
0.3368304407 0.0000000000 0.1193181818
0.3378675838 0.0000000000 0.1204545455
0.3380341643 0.0000000000 0.1215909091
0.3410744089 0.0000000000 0.1227272727
0.3412998892 0.0000000000 0.1238636364
0.3423650413 0.0000000000 0.1250000000
0.3453038794 0.0000000000 0.1261363636
0.3455646756 0.0000000000 0.1272727273
0.3474709756 0.0000000000 0.1284090909
0.3500186187 0.0000000000 0.1295454545
0.3520094506 0.0000000000 0.1306818182
0.3534229459 0.0000000000 0.1318181818
0.3549985883 0.0000000000 0.1329545455
0.3556687392 0.0000000000 0.1340909091
0.3570573358 0.0000000000 0.1352272727
0.3613387524 0.0000000000 0.1363636364
0.3621249344 0.0000000000 0.1375000000
0.3680018504 0.0000000000 0.1386363636
0.3731596010 0.0000000000 0.1397727273
0.3747388376 0.0000000000 0.1409090909
0.3815881792 0.0000000000 0.1420454545
0.3873374888 0.0000000000 0.1431818182
0.3920760033 0.0000000000 0.1443181818
0.3923015034 0.0000000000 0.1454545455
0.3925678877 0.0000000000 0.1465909091
0.3971513646 0.0000000000 0.1477272727
0.3981216849 0.0000000000 0.1488636364
0.3993632212 0.0000000000 0.1500000000
0.4010672027 0.0000000000 0.1511363636
0.4036868781 0.0000000000 0.1522727273
0.4071287515 0.0000000000 0.1534090909
0.4086614960 0.0000000000 0.1545454545
0.4116931343 0.0000000000 0.1556818182
0.4117380736 0.0000000000 0.1568181818
0.4124219944 0.0000000000 0.1579545455
0.4170469353 0.0000000000 0.1590909091
0.4178250736 0.0000000000 0.1602272727
0.4207446144 0.0000000000 0.1613636364
0.4255852915 0.0000000000 0.1625000000
0.4262424657 0.0000000000 0.1636363636
0.4272894033 0.0000000000 0.1647727273
0.4320056521 0.0000000000 0.1659090909
0.4348938362 0.0000000000 0.1670454545
0.4380103480 0.0000000000 0.1681818182
0.4403387223 0.0000000000 0.1693181818
0.4411999458 0.0000000000 0.1704545455
0.4431625503 0.0000000000 0.1715909091
0.4473190997 0.0000000000 0.1727272727
0.4577602766 0.0000000000 0.1738636364
0.4608371158 0.0000000000 0.1750000000
0.4636170247 0.0000000000 0.1761363636
0.4665659187 0.0000000000 0.1772727273
0.4672878733 0.0000000000 0.1784090909
0.4755653870 0.0000000000 0.1795454545
