T P_and P_or
22.200000 0.835077 0.196431
22.300000 0.835308 0.197724
22.400000 0.835539 0.199017
22.500000 0.835770 0.200313
22.600000 0.836002 0.201612
22.700000 0.836236 0.202920
22.800000 0.836472 0.204244
22.900000 0.836713 0.205594
23.000000 0.836961 0.206983
23.100000 0.837219 0.208429
23.200000 0.837491 0.209947
23.300000 0.837778 0.211556
23.400000 0.838083 0.213267
23.500000 0.838409 0.215092
23.600000 0.838757 0.217038
23.700000 0.839127 0.219109
23.800000 0.839519 0.221307
23.900000 0.839935 0.223633
24.000000 0.840373 0.226089
24.100000 0.840835 0.228674
24.200000 0.841319 0.231387
24.300000 0.841827 0.234230
24.400000 0.842357 0.237202
24.500000 0.842911 0.240302
24.600000 0.843487 0.243529
24.700000 0.844086 0.246881
24.800000 0.844706 0.250355
24.900000 0.845347 0.253944
25.000000 0.846008 0.257643
25.100000 0.846686 0.261444
25.200000 0.847382 0.265337
25.300000 0.848092 0.269314
25.400000 0.848816 0.273369
25.500000 0.849553 0.277497
25.600000 0.850302 0.281693
25.700000 0.851064 0.285956
25.800000 0.851837 0.290285
25.900000 0.852621 0.294678
26.000000 0.853417 0.299137
26.100000 0.854225 0.303660
26.200000 0.855044 0.308248
26.300000 0.855875 0.312900
26.400000 0.856717 0.317617
26.500000 0.857571 0.322398
26.600000 0.858437 0.327244
26.700000 0.859313 0.332155
26.800000 0.860202 0.337131
26.900000 0.861102 0.342171
27.000000 0.862013 0.347275
27.100000 0.862937 0.352444
27.200000 0.863871 0.357678
27.300000 0.864817 0.362977
27.400000 0.865775 0.368340
27.500000 0.866744 0.373768
27.600000 0.867725 0.379260
27.700000 0.868717 0.384817
27.800000 0.869721 0.390438
27.900000 0.870737 0.396124
28.000000 0.871763 0.401875
28.100000 0.872802 0.407691
28.200000 0.873852 0.413570
28.300000 0.874913 0.419514
28.400000 0.875986 0.425521
28.500000 0.877069 0.431589
28.600000 0.878163 0.437712
28.700000 0.879265 0.443884
28.800000 0.880373 0.450089
28.900000 0.881483 0.456306
29.000000 0.882591 0.462509
29.100000 0.883690 0.468664
29.200000 0.884774 0.474737
29.300000 0.885839 0.480696
29.400000 0.886877 0.486513
29.500000 0.887887 0.492168
29.600000 0.888865 0.497646
29.700000 0.889810 0.502938
29.800000 0.890721 0.508040
29.900000 0.891598 0.512950
30.000000 0.892438 0.517667
30.100000 0.893239 0.522190
30.200000 0.893995 0.526518
30.300000 0.894691 0.530653
30.400000 0.895302 0.534594
30.500000 0.895782 0.538341
30.600000 0.896073 0.541896
30.700000 0.896098 0.545262
30.800000 0.895786 0.548450
30.900000 0.895084 0.551471
31.000000 0.893973 0.554347
31.100000 0.892479 0.557102
31.200000 0.890660 0.559763
31.300000 0.888596 0.562357
31.400000 0.886365 0.564907
31.500000 0.884031 0.567429
31.600000 0.881640 0.569937
31.700000 0.879220 0.572436
31.800000 0.876785 0.574932
31.900000 0.874343 0.577426
32.000000 0.871896 0.579918
32.100000 0.869446 0.582409
32.200000 0.866993 0.584900
32.300000 0.864537 0.587389
32.400000 0.862077 0.589878
32.500000 0.859615 0.592366
32.600000 0.857150 0.594853
32.700000 0.854682 0.597338
32.800000 0.852211 0.599821
32.900000 0.849736 0.602302
33.000000 0.847258 0.604778
33.100000 0.844776 0.607248
33.200000 0.842290 0.609712
33.300000 0.839800 0.612168
33.400000 0.837305 0.614614
33.500000 0.834807 0.617050
33.600000 0.832303 0.619475
33.700000 0.829795 0.621890
33.800000 0.827283 0.624292
33.900000 0.824765 0.626684
34.000000 0.822244 0.629064
34.100000 0.819717 0.631432
34.200000 0.817186 0.633789
34.300000 0.814651 0.636135
34.400000 0.812111 0.638469
34.500000 0.809567 0.640791
34.600000 0.807018 0.643102
34.700000 0.804464 0.645402
34.800000 0.801907 0.647690
34.900000 0.799344 0.649967
35.000000 0.796778 0.652233
35.100000 0.794207 0.654487
35.200000 0.791631 0.656729
35.300000 0.789052 0.658960
35.400000 0.786467 0.661180
35.500000 0.783879 0.663388
35.600000 0.781286 0.665585
35.700000 0.778689 0.667771
35.800000 0.776088 0.669945
35.900000 0.773483 0.672108
36.000000 0.770873 0.674259
36.100000 0.768259 0.676399
36.200000 0.765641 0.678528
36.300000 0.763019 0.680645
36.400000 0.760394 0.682751
36.500000 0.757765 0.684845
36.600000 0.755134 0.686929
36.700000 0.752502 0.689001
36.800000 0.749871 0.691062
36.900000 0.747245 0.693111
37.000000 0.744627 0.695150
37.100000 0.742021 0.697179
37.200000 0.739430 0.699196
37.300000 0.736858 0.701204
37.400000 0.734306 0.703200
37.500000 0.731776 0.705187
37.600000 0.729269 0.707163
37.700000 0.726786 0.709129
37.800000 0.724327 0.711084
37.900000 0.721892 0.713030
38.000000 0.719481 0.714965
38.100000 0.717095 0.716890
38.200000 0.714733 0.718805
38.300000 0.712395 0.720710
38.400000 0.710082 0.722604
38.500000 0.707793 0.724489
38.600000 0.705529 0.726363
38.700000 0.703289 0.728227
38.800000 0.701074 0.730081
38.900000 0.698884 0.731925
39.000000 0.696718 0.733759
39.100000 0.694577 0.735583
39.200000 0.692461 0.737397
39.300000 0.690370 0.739201
39.400000 0.688303 0.740995
39.500000 0.686262 0.742779
39.600000 0.684246 0.744552
39.700000 0.682254 0.746316
39.800000 0.680288 0.748070
39.900000 0.678347 0.749814
40.000000 0.676431 0.751548
40.100000 0.674540 0.753272
40.200000 0.672675 0.754986
40.300000 0.670834 0.756690
40.400000 0.669020 0.758384
40.500000 0.667230 0.760069
40.600000 0.665466 0.761743
40.700000 0.663727 0.763408
40.800000 0.662014 0.765063
40.900000 0.660327 0.766708
41.000000 0.658665 0.768343
