T FAR FRR
22.450000 0.004891 0.511432
22.550000 0.004676 0.513116
22.650000 0.004474 0.514776
22.750000 0.004283 0.516414
22.850000 0.004104 0.518028
22.950000 0.003937 0.519619
23.050000 0.003782 0.521187
23.150000 0.003639 0.522731
23.250000 0.003508 0.524252
23.350000 0.003388 0.525750
23.450000 0.003280 0.527222
23.550000 0.003181 0.528670
23.650000 0.003093 0.530092
23.750000 0.003012 0.531486
23.850000 0.002939 0.532851
23.950000 0.002870 0.534186
24.050000 0.002805 0.535491
24.150000 0.002743 0.536763
24.250000 0.002682 0.538003
24.350000 0.002621 0.539210
24.450000 0.002562 0.540384
24.550000 0.002502 0.541525
24.650000 0.002442 0.542633
24.750000 0.002383 0.543709
24.850000 0.002323 0.544751
24.950000 0.002264 0.545759
25.050000 0.002204 0.546735
25.150000 0.002144 0.547678
25.250000 0.002085 0.548588
25.350000 0.002025 0.549464
25.450000 0.001966 0.550308
25.550000 0.001906 0.551119
25.650000 0.001847 0.551898
25.750000 0.001787 0.552645
25.850000 0.001727 0.553364
25.950000 0.001668 0.554056
26.050000 0.001608 0.554726
26.150000 0.001549 0.555382
26.250000 0.001489 0.556029
26.350000 0.001430 0.556677
26.450000 0.001370 0.557331
26.550000 0.001310 0.557998
26.650000 0.001251 0.558684
26.750000 0.001191 0.559390
26.850000 0.001132 0.560119
26.950000 0.001072 0.560872
27.050000 0.001013 0.561649
27.150000 0.000953 0.562452
27.250000 0.000894 0.563279
27.350000 0.000834 0.564130
27.450000 0.000774 0.565007
27.550000 0.000715 0.565908
27.650000 0.000655 0.566835
27.750000 0.000596 0.567786
27.850000 0.000536 0.568761
27.950000 0.000477 0.569762
28.050000 0.000418 0.570787
28.150000 0.000359 0.571836
28.250000 0.000301 0.572909
28.350000 0.000246 0.574004
28.450000 0.000193 0.575118
28.550000 0.000146 0.576250
28.650000 0.000104 0.577393
28.750000 0.000071 0.578543
28.850000 0.000045 0.579694
28.950000 0.000026 0.580842
29.050000 0.000014 0.581981
29.150000 0.000007 0.583109
29.250000 0.000003 0.584223
29.350000 0.000001 0.585322
29.450000 0.000001 0.586405
29.550000 0.000000 0.587472
29.650000 0.000000 0.588522
29.750000 0.000000 0.589556
29.850000 0.000000 0.590573
29.950000 0.000000 0.591574
30.050000 0.000000 0.592558
30.150000 0.000000 0.593525
30.250000 0.000000 0.594476
30.350000 0.000000 0.595411
30.450000 0.000000 0.596329
30.550000 0.000000 0.597231
30.650000 0.000000 0.598116
30.750000 0.000000 0.598987
30.850000 0.000000 0.599843
30.950000 0.000000 0.600687
31.050000 0.000000 0.601522
31.150000 0.000000 0.602351
31.250000 0.000000 0.603180
31.350000 0.000000 0.604013
31.450000 0.000000 0.604854
31.550000 0.000000 0.605708
31.650000 0.000000 0.606578
31.750000 0.000000 0.607465
31.850000 0.000000 0.608370
31.950000 0.000000 0.609295
32.050000 0.000000 0.610240
32.150000 0.000000 0.611204
32.250000 0.000000 0.612188
32.350000 0.000000 0.613192
32.450000 0.000000 0.614216
32.550000 0.000000 0.615260
32.650000 0.000000 0.616323
32.750000 0.000000 0.617406
32.850000 0.000000 0.618510
32.950000 0.000000 0.619632
33.050000 0.000000 0.620775
33.150000 0.000000 0.621937
33.250000 0.000000 0.623117
33.350000 0.000000 0.624316
33.450000 0.000000 0.625529
33.550000 0.000000 0.626756
33.650000 0.000000 0.627992
33.750000 0.000000 0.629233
33.850000 0.000000 0.630473
33.950000 0.000000 0.631710
34.050000 0.000000 0.632939
34.150000 0.000000 0.634157
34.250000 0.000000 0.635362
34.350000 0.000000 0.636554
34.450000 0.000000 0.637731
34.550000 0.000000 0.638894
34.650000 0.000000 0.640041
34.750000 0.000000 0.641174
34.850000 0.000000 0.642293
34.950000 0.000000 0.643396
35.050000 0.000000 0.644484
35.150000 0.000000 0.645557
35.250000 0.000000 0.646616
35.350000 0.000000 0.647660
35.450000 0.000000 0.648688
35.550000 0.000000 0.649703
35.650000 0.000000 0.650702
35.750000 0.000000 0.651688
35.850000 0.000000 0.652662
35.950000 0.000000 0.653624
36.050000 0.000000 0.654578
36.150000 0.000000 0.655528
36.250000 0.000000 0.656476
36.350000 0.000000 0.657429
36.450000 0.000000 0.658390
36.550000 0.000000 0.659362
36.650000 0.000000 0.660349
36.750000 0.000000 0.661351
36.850000 0.000000 0.662371
36.950000 0.000000 0.663408
37.050000 0.000000 0.664463
37.150000 0.000000 0.665537
37.250000 0.000000 0.666629
37.350000 0.000000 0.667738
37.450000 0.000000 0.668866
37.550000 0.000000 0.670012
37.650000 0.000000 0.671177
37.750000 0.000000 0.672359
37.850000 0.000000 0.673560
37.950000 0.000000 0.674779
38.050000 0.000000 0.676016
38.150000 0.000000 0.677270
38.250000 0.000000 0.678541
38.350000 0.000000 0.679828
38.450000 0.000000 0.681129
38.550000 0.000000 0.682439
38.650000 0.000000 0.683756
38.750000 0.000000 0.685073
38.850000 0.000000 0.686386
38.950000 0.000000 0.687690
39.050000 0.000000 0.688980
39.150000 0.000000 0.690254
39.250000 0.000000 0.691509
39.350000 0.000000 0.692743
39.450000 0.000000 0.693957
39.550000 0.000000 0.695149
39.650000 0.000000 0.696320
39.750000 0.000000 0.697470
39.850000 0.000000 0.698598
39.950000 0.000000 0.699704
40.050000 0.000000 0.700789
40.150000 0.000000 0.701853
40.250000 0.000000 0.702895
40.350000 0.000000 0.703915
40.450000 0.000000 0.704914
40.550000 0.000000 0.705892
40.650000 0.000000 0.706850
40.750000 0.000000 0.707787
40.850000 0.000000 0.708707
40.950000 0.000000 0.709613
41.050000 0.000000 0.710509
41.150000 0.000000 0.711401
41.250000 0.000000 0.712296
41.350000 0.000000 0.713203
41.450000 0.000000 0.714129
41.550000 0.000000 0.715079
41.650000 0.000000 0.716059
41.750000 0.000000 0.717071
41.850000 0.000000 0.718117
41.950000 0.000000 0.719200
42.050000 0.000000 0.720318
42.150000 0.000000 0.721472
42.250000 0.000000 0.722663
42.350000 0.000000 0.723890
42.450000 0.000000 0.725154
42.550000 0.000000 0.726454
42.650000 0.000000 0.727790
42.750000 0.000000 0.729163
42.850000 0.000000 0.730572
42.950000 0.000000 0.732018
43.050000 0.000000 0.733499
43.150000 0.000000 0.735016
43.250000 0.000000 0.736567
43.350000 0.000000 0.738150
43.450000 0.000000 0.739762
43.550000 0.000000 0.741397
43.650000 0.000000 0.743049
43.750000 0.000000 0.744709
43.850000 0.000000 0.746369
43.950000 0.000000 0.748021
44.050000 0.000000 0.749657
44.150000 0.000000 0.751273
44.250000 0.000000 0.752866
44.350000 0.000000 0.754432
44.450000 0.000000 0.755972
44.550000 0.000000 0.757483
44.650000 0.000000 0.758967
44.750000 0.000000 0.760422
44.850000 0.000000 0.761849
44.950000 0.000000 0.763249
45.050000 0.000000 0.764620
45.150000 0.000000 0.765963
45.250000 0.000000 0.767278
45.350000 0.000000 0.768564
45.450000 0.000000 0.769823
45.550000 0.000000 0.771054
45.650000 0.000000 0.772257
45.750000 0.000000 0.773434
45.850000 0.000000 0.774584
45.950000 0.000000 0.775711
46.050000 0.000000 0.776817
46.150000 0.000000 0.777907
46.250000 0.000000 0.778983
