s PU PA FAR FRR Ps
1.0621 0.0000 0.0000 1.0000 0.0000 0.0000
1.0721 0.0000 0.0000 1.0000 0.0000 0.0000
1.0822 0.0000 0.0000 1.0000 0.0000 0.0000
1.0922 0.0000 0.0000 1.0000 0.0000 0.0000
1.1022 0.0000 0.0000 1.0000 0.0000 0.0000
1.1122 0.0000 0.0000 1.0000 0.0000 0.0000
1.1222 0.0000 0.0000 1.0000 0.0000 0.0000
1.1323 0.0000 0.0000 1.0000 0.0000 0.0000
1.1423 0.0000 0.0000 1.0000 0.0000 0.0000
1.1523 0.0000 0.0000 1.0000 0.0000 0.0000
1.1623 0.0000 0.0000 1.0000 0.0000 0.0000
1.1723 0.0000 0.0000 1.0000 0.0000 0.0000
1.1824 0.0000 0.0000 1.0000 0.0000 0.0000
1.1924 0.0000 0.0000 1.0000 0.0000 0.0000
1.2024 0.0000 0.0027 1.0000 0.0000 0.0000
1.2124 0.0000 0.0140 0.9998 0.0000 0.0002
1.2224 0.0000 0.0252 0.9996 0.0000 0.0004
1.2325 0.0000 0.0363 0.9992 0.0000 0.0008
1.2425 0.0000 0.0473 0.9987 0.0000 0.0013
1.2525 0.0000 0.0582 0.9982 0.0000 0.0018
1.2625 0.0000 0.0690 0.9975 0.0000 0.0025
1.2725 0.0000 0.0797 0.9967 0.0000 0.0033
1.2826 0.0000 0.0903 0.9958 0.0000 0.0042
1.2926 0.0000 0.1008 0.9948 0.0000 0.0052
1.3026 0.0000 0.1112 0.9936 0.0000 0.0064
1.3126 0.0000 0.1215 0.9924 0.0000 0.0076
1.3226 0.0000 0.1317 0.9911 0.0000 0.0089
1.3327 0.0000 0.1418 0.9897 0.0000 0.0103
1.3427 0.0000 0.1518 0.9882 0.0000 0.0118
1.3527 0.0000 0.1617 0.9865 0.0000 0.0135
1.3627 0.0000 0.1715 0.9848 0.0000 0.0152
1.3727 0.0000 0.1812 0.9830 0.0000 0.0170
1.3828 0.0000 0.1908 0.9811 0.0000 0.0189
1.3928 0.0000 0.2003 0.9791 0.0000 0.0209
1.4028 0.0000 0.2097 0.9770 0.0000 0.0230
1.4128 0.0000 0.2191 0.9748 0.0000 0.0252
1.4228 0.0000 0.2283 0.9725 0.0000 0.0275
1.4329 0.0000 0.2374 0.9701 0.0000 0.0299
1.4429 0.0000 0.2464 0.9677 0.0000 0.0323
1.4529 0.0000 0.2553 0.9651 0.0000 0.0349
1.4629 0.0000 0.2641 0.9625 0.0000 0.0375
1.4729 0.0000 0.2728 0.9597 0.0000 0.0403
1.4830 0.0000 0.2815 0.9569 0.0000 0.0431
1.4930 0.0000 0.2900 0.9540 0.0000 0.0460
1.5030 0.0000 0.2984 0.9510 0.0000 0.0490
1.5130 0.0000 0.3067 0.9479 0.0000 0.0521
1.5230 0.0000 0.3149 0.9448 0.0000 0.0552
1.5331 0.0000 0.3231 0.9415 0.0000 0.0585
1.5431 0.0000 0.3311 0.9382 0.0000 0.0618
1.5531 0.0000 0.3390 0.9348 0.0000 0.0652
1.5631 0.0000 0.3468 0.9313 0.0000 0.0687
1.5731 0.0000 0.3546 0.9278 0.0000 0.0722
1.5832 0.0000 0.3622 0.9242 0.0000 0.0758
1.5932 0.0000 0.3697 0.9205 0.0000 0.0795
1.6032 0.0000 0.3772 0.9167 0.0000 0.0833
1.6132 0.0000 0.3845 0.9128 0.0000 0.0872
1.6232 0.0000 0.3917 0.9089 0.0000 0.0911
1.6333 0.0000 0.3988 0.9049 0.0000 0.0951
1.6433 0.0000 0.4059 0.9008 0.0000 0.0992
1.6533 0.0000 0.4128 0.8967 0.0000 0.1033
1.6633 0.0000 0.4196 0.8925 0.0000 0.1075
1.6733 0.0000 0.4264 0.8882 0.0000 0.1118
1.6834 0.0000 0.4330 0.8839 0.0000 0.1161
1.6934 0.0000 0.4396 0.8795 0.0000 0.1205
1.7034 0.0000 0.4460 0.8750 0.0000 0.1250
1.7134 0.0000 0.4523 0.8705 0.0000 0.1295
1.7234 0.0000 0.4586 0.8659 0.0000 0.1341
1.7335 0.0000 0.4647 0.8612 0.0000 0.1388
1.7435 0.0000 0.4708 0.8565 0.0000 0.1435
1.7535 0.0000 0.4767 0.8517 0.0000 0.1483
1.7635 0.0000 0.4826 0.8469 0.0000 0.1531
1.7735 0.0000 0.4883 0.8420 0.0000 0.1580
1.7836 0.0000 0.4940 0.8371 0.0000 0.1629
1.7936 0.0000 0.4995 0.8321 0.0000 0.1679
1.8036 0.0000 0.5050 0.8270 0.0000 0.1730
1.8136 0.0000 0.5103 0.8219 0.0000 0.1781
1.8236 0.0000 0.5156 0.8167 0.0000 0.1833
1.8337 0.0000 0.5207 0.8115 0.0000 0.1885
1.8437 0.0000 0.5258 0.8062 0.0000 0.1938
1.8537 0.0000 0.5307 0.8009 0.0000 0.1991
1.8637 0.0000 0.5356 0.7955 0.0000 0.2045
1.8737 0.0000 0.5403 0.7901 0.0000 0.2099
1.8838 0.0000 0.5450 0.7847 0.0000 0.2153
1.8938 0.0000 0.5495 0.7792 0.0000 0.2208
1.9038 0.0000 0.5540 0.7736 0.0000 0.2264
1.9138 0.0000 0.5584 0.7680 0.0000 0.2320
1.9238 0.0000 0.5626 0.7624 0.0000 0.2376
1.9339 0.0000 0.5668 0.7567 0.0000 0.2433
1.9439 0.0000 0.5708 0.7510 0.0000 0.2490
1.9539 0.0000 0.5748 0.7452 0.0000 0.2548
1.9639 0.0000 0.5787 0.7394 0.0000 0.2606
1.9739 0.0000 0.5824 0.7336 0.0000 0.2664
1.9840 0.0000 0.5861 0.7277 0.0000 0.2723
1.9940 0.0000 0.5897 0.7218 0.0000 0.2782
2.0040 0.0000 0.5931 0.7159 0.0000 0.2841
2.0140 0.0000 0.5965 0.7099 0.0000 0.2901
2.0240 0.0000 0.5998 0.7039 0.0000 0.2961
2.0341 0.0000 0.6030 0.6978 0.0000 0.3022
2.0441 0.0000 0.6060 0.6918 0.0000 0.3082
2.0541 0.0000 0.6090 0.6857 0.0000 0.3143
2.0641 0.0000 0.6119 0.6795 0.0000 0.3205
2.0741 0.0000 0.6146 0.6734 0.0000 0.3266
2.0842 0.0000 0.6173 0.6672 0.0000 0.3328
2.0942 0.0000 0.6199 0.6610 0.0000 0.3390
2.1042 0.0000 0.6224 0.6547 0.0000 0.3453
2.1142 0.0000 0.6248 0.6485 0.0000 0.3515
2.1242 0.0000 0.6270 0.6422 0.0000 0.3578
2.1343 0.0000 0.6292 0.6359 0.0000 0.3641
2.1443 0.0000 0.6313 0.6296 0.0000 0.3704
2.1543 0.0000 0.6333 0.6232 0.0000 0.3768
2.1643 0.0000 0.6352 0.6169 0.0000 0.3831
2.1743 0.0000 0.6370 0.6105 0.0000 0.3895
2.1844 0.0000 0.6386 0.6041 0.0000 0.3959
2.1944 0.0000 0.6402 0.5977 0.0000 0.4023
2.2044 0.0000 0.6417 0.5912 0.0000 0.4088
2.2144 0.0000 0.6431 0.5848 0.0000 0.4152
2.2244 0.0000 0.6444 0.5783 0.0000 0.4217
2.2345 0.0000 0.6456 0.5719 0.0000 0.4281
2.2445 0.0000 0.6467 0.5654 0.0000 0.4346
2.2545 0.0000 0.6477 0.5589 0.0000 0.4411
2.2645 0.0000 0.6486 0.5524 0.0000 0.4476
2.2745 0.0000 0.6494 0.5459 0.0000 0.4541
2.2846 0.0000 0.6501 0.5394 0.0000 0.4606
2.2946 0.0000 0.6507 0.5328 0.0000 0.4672
2.3046 0.0000 0.6512 0.5263 0.0000 0.4737
2.3146 0.0000 0.6516 0.5198 0.0000 0.4802
2.3246 0.0000 0.6519 0.5133 0.0000 0.4867
2.3347 0.0000 0.6521 0.5067 0.0000 0.4933
2.3447 0.0000 0.6522 0.5002 0.0000 0.4998
2.3547 0.0000 0.6522 0.4937 0.0000 0.5063
2.3647 0.0000 0.6521 0.4871 0.0000 0.5129
2.3747 0.0000 0.6519 0.4806 0.0000 0.5194
2.3848 0.0000 0.6516 0.4741 0.0000 0.5259
2.3948 0.0000 0.6512 0.4675 0.0000 0.5325
2.4048 0.0000 0.6507 0.4610 0.0000 0.5390
2.4148 0.0000 0.6501 0.4545 0.0000 0.5455
2.4248 0.0000 0.6494 0.4480 0.0000 0.5520
2.4349 0.0000 0.6486 0.4415 0.0000 0.5585
