s PU1 PA1 PU2 PA2
-0.7108 0.0000 0.0000 0.0000 0.0000
-0.7093 0.0000 0.0000 0.0000 0.0000
-0.7077 0.0000 0.0000 0.0000 0.0000
-0.7062 0.0000 0.0000 0.0000 0.0000
-0.7046 0.0000 0.0000 0.0000 0.0000
-0.7031 0.0000 0.0000 0.0000 0.0000
-0.7015 0.0000 0.0000 0.0000 0.0000
-0.6999 0.0000 0.0000 0.0000 0.0000
-0.6984 0.0000 0.0000 0.0000 0.0000
-0.6968 0.0000 0.0000 0.0000 0.0000
-0.6953 0.0000 0.0000 0.0000 0.0000
-0.6937 0.0000 0.0000 0.0000 0.0000
-0.6922 0.0000 0.0000 0.0000 0.0000
-0.6906 0.0000 0.0000 0.0000 0.0000
-0.6891 0.0000 0.0000 0.0000 0.0000
-0.6875 0.0000 0.0000 0.0000 0.0000
-0.6860 0.0000 0.0000 0.0000 0.0000
-0.6844 0.0000 0.0000 0.0000 0.0000
-0.6829 0.0000 0.0000 0.0000 0.0000
-0.6813 0.0000 0.0000 0.0000 0.0000
-0.6798 0.0000 0.0000 0.0000 0.0000
-0.6782 0.0000 0.0000 0.0000 0.0000
-0.6767 0.0000 0.0000 0.0000 0.0000
-0.6751 0.0000 0.0000 0.0000 0.0000
-0.6736 0.0000 0.0000 0.0000 0.0000
-0.6720 0.0000 0.0000 0.0000 0.0000
-0.6705 0.0000 0.0000 0.0000 0.0000
-0.6689 0.0000 0.0000 0.0000 0.0000
-0.6674 0.0000 0.0000 0.0000 0.0000
-0.6658 0.0000 0.0000 0.0000 0.0000
-0.6643 0.0000 0.0000 0.0000 0.0000
-0.6627 0.0000 0.0000 0.0000 0.0000
-0.6612 0.0000 0.0000 0.0000 0.0000
-0.6596 0.0000 0.0000 0.0000 0.0000
-0.6581 0.0000 0.0000 0.0000 0.0000
-0.6565 0.0000 0.0000 0.0000 0.0000
-0.6550 0.0000 0.0000 0.0000 0.0000
-0.6534 0.0000 0.0000 0.0000 0.0000
-0.6519 0.0000 0.0000 0.0000 0.0000
-0.6503 0.0000 0.0000 0.0000 0.0000
-0.6488 0.0000 0.0000 0.0000 0.0000
-0.6472 0.0000 0.0000 0.0000 0.0000
-0.6457 0.0000 0.0000 0.0000 0.0000
-0.6441 0.0000 0.0000 0.0000 0.0000
-0.6426 0.0000 0.0000 0.0000 0.0000
-0.6410 0.0000 0.0000 0.0000 0.0000
-0.6395 0.0000 0.0000 0.0000 0.0000
-0.6379 0.0000 0.0000 0.0000 0.0000
-0.6364 0.0000 0.0000 0.0000 0.0000
-0.6348 0.0000 0.0000 0.0000 0.0000
-0.6333 0.0000 0.0000 0.0000 0.0000
-0.6317 0.0000 0.0000 0.0000 0.0000
-0.6302 0.0000 0.0000 0.0000 0.0000
-0.6286 0.0000 0.0000 0.0000 0.0000
-0.6271 0.0000 0.0000 0.0000 0.0000
-0.6255 0.0000 0.0000 0.0000 0.0000
-0.6240 0.0000 0.0000 0.0000 0.0000
-0.6224 0.0000 0.0000 0.0000 0.0000
-0.6209 0.0000 0.0000 0.0000 0.0000
-0.6193 0.0000 0.0000 0.0000 0.0000
-0.6178 0.0000 0.0000 0.0000 0.0000
-0.6162 0.0000 0.0000 0.0000 0.0000
-0.6147 0.0000 0.0000 0.0000 0.0000
-0.6131 0.0000 0.0000 0.0000 0.0000
-0.6116 0.0000 0.0000 0.0000 0.0000
-0.6100 0.0000 0.0000 0.0000 0.0000
-0.6085 0.0000 0.0000 0.0000 0.0000
-0.6069 0.0000 0.0000 0.0000 0.0000
-0.6054 0.0000 0.0000 0.0000 0.0000
-0.6038 0.0000 0.0000 0.0000 0.0000
-0.6023 0.0000 0.0000 0.0000 0.0000
-0.6007 0.0000 0.0000 0.0000 0.0000
-0.5991 0.0000 0.0000 0.0000 0.0000
-0.5976 0.0000 0.0000 0.0000 0.0000
-0.5960 0.0000 0.0000 0.0000 0.0000
-0.5945 0.0000 0.0000 0.0000 0.0000
-0.5929 0.0000 0.0000 0.0000 0.0000
-0.5914 0.0000 0.0000 0.0000 0.0000
-0.5898 0.0000 0.0000 0.0000 0.0000
-0.5883 0.0000 0.0000 0.0000 0.0000
-0.5867 0.0000 0.0000 0.0000 0.0000
-0.5852 0.0000 0.0000 0.0000 0.0000
-0.5836 0.0000 0.0000 0.0000 0.0000
-0.5821 0.0000 0.0000 0.0000 0.0000
-0.5805 0.0000 0.0000 0.0000 0.0000
-0.5790 0.0000 0.0000 0.0000 0.0000
-0.5774 0.0000 0.0000 0.0000 0.0000
-0.5759 0.0000 0.0000 0.0000 0.0000
-0.5743 0.0000 0.0000 0.0000 0.0000
-0.5728 0.0000 0.0000 0.0000 0.0000
-0.5712 0.0000 0.0000 0.0000 0.0000
-0.5697 0.0000 0.0000 0.0000 0.0000
-0.5681 0.0000 0.0000 0.0000 0.0000
-0.5666 0.0000 0.0000 0.0000 0.0000
-0.5650 0.0000 0.0000 0.0000 0.0000
-0.5635 0.0000 0.0000 0.0000 0.0000
-0.5619 0.0000 0.0000 0.0000 0.0000
-0.5604 0.0000 0.0000 0.0000 0.0000
-0.5588 0.0000 0.0000 0.0000 0.0000
-0.5573 0.0000 0.0000 0.0000 0.0000
-0.5557 0.0000 0.0000 0.0000 0.0000
-0.5542 0.0000 0.0000 0.0000 0.0000
-0.5526 0.0000 0.0000 0.0000 0.0000
-0.5511 0.0000 0.0000 0.0000 0.0000
-0.5495 0.0000 0.0000 0.0000 0.0000
-0.5480 0.0000 0.0000 0.0000 0.0000
-0.5464 0.0000 0.0000 0.0000 0.0000
-0.5449 0.0000 0.0000 0.0000 0.0000
-0.5433 0.0000 0.0000 0.0000 0.0000
-0.5418 0.0000 0.0000 0.0000 0.0000
-0.5402 0.0000 0.0000 0.0000 0.0000
-0.5387 0.0000 0.0000 0.0000 0.0000
-0.5371 0.0000 0.0000 0.0000 0.0000
-0.5356 0.0000 0.0000 0.0000 0.0000
-0.5340 0.0000 0.0000 0.0000 0.0000
-0.5325 0.0000 0.0000 0.0000 0.0000
-0.5309 0.0000 0.0000 0.0000 0.0000
-0.5294 0.0000 0.0000 0.0000 0.0000
-0.5278 0.0000 0.0000 0.0000 0.0000
-0.5263 0.0000 0.0000 0.0000 0.0000
-0.5247 0.0000 0.0000 0.0000 0.0000
-0.5232 0.0000 0.0000 0.0000 0.0000
-0.5216 0.0000 0.0000 0.0000 0.0000
-0.5201 0.0000 0.0000 0.0000 0.0000
-0.5185 0.0000 0.0000 0.0000 0.0000
-0.5170 0.0000 0.0000 0.0000 0.0000
-0.5154 0.0000 0.0000 0.0000 0.0000
-0.5139 0.0000 0.0000 0.0000 0.0000
-0.5123 0.0000 0.0000 0.0000 0.0000
-0.5108 0.0000 0.0000 0.0000 0.0000
-0.5092 0.0000 0.0000 0.0000 0.0000
-0.5077 0.0000 0.0000 0.0000 0.0000
-0.5061 0.0000 0.0000 0.0000 0.0000
-0.5046 0.0000 0.0000 0.0000 0.0000
-0.5030 0.0000 0.0000 0.0000 0.0000
-0.5015 0.0000 0.0000 0.0000 0.0000
-0.4999 0.0000 0.0000 0.0000 0.0000
-0.4983 0.0000 0.0000 0.0000 0.0000
-0.4968 0.0000 0.0000 0.0000 0.0000
-0.4952 0.0000 0.0000 0.0000 0.0000
-0.4937 0.0000 0.0000 0.0000 0.0000
-0.4921 0.0000 0.0000 0.0000 0.0000
-0.4906 0.0000 0.0000 0.0000 0.0000
-0.4890 0.0000 0.0000 0.0000 0.0000
-0.4875 0.0000 0.0000 0.0000 0.0000
-0.4859 0.0000 0.0000 0.0000 0.0000
-0.4844 0.0000 0.0000 0.0000 0.0000
-0.4828 0.0000 0.0000 0.0000 0.0000
-0.4813 0.0000 0.0000 0.0000 0.0000
-0.4797 0.0000 0.0000 0.0000 0.0000
-0.4782 0.0000 0.0000 0.0000 0.0000
-0.4766 0.0000 0.0000 0.0000 0.0000
-0.4751 0.0000 0.0000 0.0000 0.0000
-0.4735 0.0000 0.0000 0.0000 0.0000
-0.4720 0.0000 0.0000 0.0000 0.0000
-0.4704 0.0000 0.0000 0.0000 0.0000
-0.4689 0.0000 0.0000 0.0000 0.0000
-0.4673 0.0000 0.0000 0.0000 0.0000
-0.4658 0.0000 0.0000 0.0000 0.0000
-0.4642 0.0000 0.0000 0.0000 0.0000
-0.4627 0.0000 0.0000 0.0000 0.0000
