T1 FAR1 FRR1 T2 FAR2 FRR2
-0.51600800 0.99999997 0.00000000 -0.69044522 1.00000000 0.00000000
-0.51485743 0.99999997 0.00000000 -0.68894447 1.00000000 0.00000000
-0.51370685 0.99999997 0.00000000 -0.68744372 1.00000000 0.00000000
-0.51255628 0.99999997 0.00000000 -0.68594297 1.00000000 0.00000000
-0.51140570 0.99999997 0.00000000 -0.68444222 1.00000000 0.00000000
-0.51025513 0.99999997 0.00000000 -0.68294147 1.00000000 0.00000000
-0.50910455 0.99999997 0.00000000 -0.68144072 1.00000000 0.00000000
-0.50795398 0.99999996 0.00000000 -0.67993997 1.00000000 0.00000000
-0.50680340 0.99999996 0.00000000 -0.67843922 1.00000000 0.00000000
-0.50565283 0.99999996 0.00000000 -0.67693847 1.00000000 0.00000000
-0.50450225 0.99999996 0.00000000 -0.67543772 1.00000000 0.00000000
-0.50335168 0.99999996 0.00000000 -0.67393697 1.00000000 0.00000000
-0.50220110 0.99999996 0.00000000 -0.67243622 1.00000000 0.00000000
-0.50105053 0.99999995 0.00000000 -0.67093547 1.00000000 0.00000000
-0.49989995 0.99999995 0.00000000 -0.66943472 1.00000000 0.00000000
-0.49874937 0.99999995 0.00000000 -0.66793397 1.00000000 0.00000000
-0.49759880 0.99999995 0.00000000 -0.66643322 1.00000000 0.00000000
-0.49644822 0.99999995 0.00000000 -0.66493247 1.00000000 0.00000000
-0.49529765 0.99999994 0.00000000 -0.66343172 1.00000000 0.00000000
-0.49414707 0.99999994 0.00000000 -0.66193097 1.00000000 0.00000000
-0.49299650 0.99999994 0.00000000 -0.66043022 1.00000000 0.00000000
-0.49184592 0.99999994 0.00000000 -0.65892946 1.00000000 0.00000000
-0.49069535 0.99999993 0.00000000 -0.65742871 1.00000000 0.00000000
-0.48954477 0.99999993 0.00000000 -0.65592796 1.00000000 0.00000000
-0.48839420 0.99999993 0.00000000 -0.65442721 1.00000000 0.00000000
-0.48724362 0.99999992 0.00000000 -0.65292646 1.00000000 0.00000000
-0.48609305 0.99999992 0.00000000 -0.65142571 1.00000000 0.00000000
-0.48494247 0.99999992 0.00000000 -0.64992496 1.00000000 0.00000000
-0.48379190 0.99999991 0.00000000 -0.64842421 1.00000000 0.00000000
-0.48264132 0.99999991 0.00000000 -0.64692346 1.00000000 0.00000000
-0.48149075 0.99999991 0.00000000 -0.64542271 1.00000000 0.00000000
-0.48034017 0.99999990 0.00000000 -0.64392196 1.00000000 0.00000000
-0.47918959 0.99999990 0.00000000 -0.64242121 1.00000000 0.00000000
-0.47803902 0.99999989 0.00000000 -0.64092046 1.00000000 0.00000000
-0.47688844 0.99999989 0.00000000 -0.63941971 1.00000000 0.00000000
-0.47573787 0.99999988 0.00000000 -0.63791896 1.00000000 0.00000000
