T1 P_and_T1 P_or_T1 T2 P_and_T2 P_or_T2
-0.50450225 0.75511307 0.00000004 -0.67543772 0.91952840 0.00000000
-0.50335168 0.75511307 0.00000004 -0.67393697 0.91952840 0.00000000
-0.50220110 0.75511307 0.00000004 -0.67243622 0.91952840 0.00000000
-0.50105053 0.75511307 0.00000005 -0.67093547 0.91952840 0.00000000
-0.49989995 0.75511308 0.00000005 -0.66943472 0.91952840 0.00000000
-0.49874937 0.75511308 0.00000005 -0.66793397 0.91952840 0.00000000
-0.49759880 0.75511308 0.00000005 -0.66643322 0.91952840 0.00000000
-0.49644822 0.75511308 0.00000005 -0.66493247 0.91952840 0.00000000
-0.49529765 0.75511308 0.00000006 -0.66343172 0.91952840 0.00000000
-0.49414707 0.75511308 0.00000006 -0.66193097 0.91952840 0.00000000
-0.49299650 0.75511308 0.00000006 -0.66043022 0.91952840 0.00000000
-0.49184592 0.75511308 0.00000006 -0.65892946 0.91952840 0.00000000
-0.49069535 0.75511308 0.00000007 -0.65742871 0.91952840 0.00000000
-0.48954477 0.75511308 0.00000007 -0.65592796 0.91952840 0.00000000
-0.48839420 0.75511308 0.00000007 -0.65442721 0.91952840 0.00000000
-0.48724362 0.75511308 0.00000008 -0.65292646 0.91952840 0.00000000
-0.48609305 0.75511308 0.00000008 -0.65142571 0.91952840 0.00000000
-0.48494247 0.75511308 0.00000008 -0.64992496 0.91952840 0.00000000
-0.48379190 0.75511308 0.00000009 -0.64842421 0.91952840 0.00000000
-0.48264132 0.75511309 0.00000009 -0.64692346 0.91952840 0.00000000
-0.48149075 0.75511309 0.00000009 -0.64542271 0.91952840 0.00000000
-0.48034017 0.75511309 0.00000010 -0.64392196 0.91952840 0.00000000
-0.47918959 0.75511309 0.00000010 -0.64242121 0.91952840 0.00000000
-0.47803902 0.75511309 0.00000011 -0.64092046 0.91952840 0.00000000
-0.47688844 0.75511309 0.00000011 -0.63941971 0.91952840 0.00000000
-0.47573787 0.75511309 0.00000012 -0.63791896 0.91952840 0.00000000
-0.47458729 0.75511309 0.00000012 -0.63641821 0.91952840 0.00000000
-0.47343672 0.75511309 0.00000013 -0.63491746 0.91952840 0.00000000
-0.47228614 0.75511309 0.00000013 -0.63341671 0.91952840 0.00000000
-0.47113557 0.75511310 0.00000014 -0.63191596 0.91952840 0.00000000
-0.46998499 0.75511310 0.00000014 -0.63041521 0.91952840 0.00000001
-0.46883442 0.75511310 0.00000015 -0.62891446 0.91952840 0.00000001
-0.46768384 0.75511310 0.00000015 -0.62741371 0.91952840 0.00000001
-0.46653327 0.75511310 0.00000016 -0.62591296 0.91952840 0.00000001
-0.46538269 0.75511310 0.00000017 -0.62441221 0.91952840 0.00000001
-0.46423212 0.75511311 0.00000017 -0.62291146 0.91952840 0.00000001
-0.46308154 0.75511311 0.00000018 -0.62141071 0.91952840 0.00000001
-0.46193097 0.75511311 0.00000019 -0.61990995 0.91952840 0.00000001
-0.46078039 0.75511311 0.00000020 -0.61840920 0.91952840 0.00000001
-0.45962981 0.75511311 0.00000020 -0.61690845 0.91952840 0.00000001
-0.45847924 0.75511311 0.00000021 -0.61540770 0.91952840 0.00000001
-0.45732866 0.75511312 0.00000022 -0.61390695 0.91952840 0.00000001
-0.45617809 0.75511312 0.00000023 -0.61240620 0.91952840 0.00000001
-0.45502751 0.75511312 0.00000024 -0.61090545 0.91952840 0.00000001
-0.45387694 0.75511312 0.00000025 -0.60940470 0.91952840 0.00000001
-0.45272636 0.75511313 0.00000026 -0.60790395 0.91952840 0.00000001
-0.45157579 0.75511313 0.00000027 -0.60640320 0.91952840 0.00000001
-0.45042521 0.75511313 0.00000028 -0.60490245 0.91952840 0.00000001
-0.44927464 0.75511313 0.00000029 -0.60340170 0.91952840 0.00000001
-0.44812406 0.75511314 0.00000030 -0.60190095 0.91952840 0.00000001
-0.44697349 0.75511314 0.00000032 -0.60040020 0.91952840 0.00000001
-0.44582291 0.75511314 0.00000033 -0.59889945 0.91952840 0.00000001
-0.44467234 0.75511315 0.00000034 -0.59739870 0.91952840 0.00000001
-0.44352176 0.75511315 0.00000036 -0.59589795 0.91952840 0.00000002
-0.44237119 0.75511315 0.00000037 -0.59439720 0.91952840 0.00000002
-0.44122061 0.75511316 0.00000038 -0.59289645 0.91952840 0.00000002
-0.44007004 0.75511316 0.00000040 -0.59139570 0.91952840 0.00000002
-0.43891946 0.75511316 0.00000042 -0.58989495 0.91952840 0.00000002
-0.43776888 0.75511317 0.00000043 -0.58839420 0.91952840 0.00000002
-0.43661831 0.75511317 0.00000045 -0.58689345 0.91952840 0.00000002
-0.43546773 0.75511318 0.00000047 -0.58539270 0.91952840 0.00000002
-0.43431716 0.75511318 0.00000049 -0.58389195 0.91952840 0.00000002
-0.43316658 0.75511318 0.00000051 -0.58239120 0.91952840 0.00000002
-0.43201601 0.75511319 0.00000053 -0.58089045 0.91952840 0.00000002
-0.43086543 0.75511319 0.00000055 -0.57938969 0.91952840 0.00000003
-0.42971486 0.75511320 0.00000057 -0.57788894 0.91952840 0.00000003
-0.42856428 0.75511320 0.00000059 -0.57638819 0.91952840 0.00000003
-0.42741371 0.75511321 0.00000061 -0.57488744 0.91952840 0.00000003
-0.42626313 0.75511322 0.00000064 -0.57338669 0.91952840 0.00000003
-0.42511256 0.75511322 0.00000066 -0.57188594 0.91952840 0.00000003
-0.42396198 0.75511323 0.00000069 -0.57038519 0.91952840 0.00000003
-0.42281141 0.75511323 0.00000072 -0.56888444 0.91952840 0.00000004
-0.42166083 0.75511324 0.00000075 -0.56738369 0.91952840 0.00000004
-0.42051026 0.75511325 0.00000077 -0.56588294 0.91952840 0.00000004
-0.41935968 0.75511326 0.00000080 -0.56438219 0.91952840 0.00000004
-0.41820910 0.75511326 0.00000084 -0.56288144 0.91952840 0.00000004
-0.41705853 0.75511327 0.00000087 -0.56138069 0.91952840 0.00000005
-0.41590795 0.75511328 0.00000090 -0.55987994 0.91952840 0.00000005
-0.41475738 0.75511329 0.00000094 -0.55837919 0.91952840 0.00000005
-0.41360680 0.75511330 0.00000097 -0.55687844 0.91952841 0.00000005
-0.41245623 0.75511330 0.00000101 -0.55537769 0.91952841 0.00000005
-0.41130565 0.75511331 0.00000105 -0.55387694 0.91952841 0.00000006
-0.41015508 0.75511332 0.00000109 -0.55237619 0.91952841 0.00000006
-0.40900450 0.75511333 0.00000113 -0.55087544 0.91952841 0.00000006
-0.40785393 0.75511334 0.00000118 -0.54937469 0.91952841 0.00000007
-0.40670335 0.75511335 0.00000122 -0.54787394 0.91952841 0.00000007
-0.40555278 0.75511337 0.00000127 -0.54637319 0.91952841 0.00000007
-0.40440220 0.75511338 0.00000132 -0.54487244 0.91952841 0.00000008
-0.40325163 0.75511339 0.00000137 -0.54337169 0.91952841 0.00000008
-0.40210105 0.75511340 0.00000142 -0.54187094 0.91952841 0.00000008
-0.40095048 0.75511341 0.00000147 -0.54037019 0.91952841 0.00000009
-0.39979990 0.75511343 0.00000153 -0.53886943 0.91952841 0.00000009
-0.39864932 0.75511344 0.00000159 -0.53736868 0.91952841 0.00000009
-0.39749875 0.75511346 0.00000165 -0.53586793 0.91952841 0.00000010
-0.39634817 0.75511347 0.00000171 -0.53436718 0.91952841 0.00000010
-0.39519760 0.75511349 0.00000178 -0.53286643 0.91952841 0.00000011
-0.39404702 0.75511350 0.00000184 -0.53136568 0.91952841 0.00000011
-0.39289645 0.75511352 0.00000191 -0.52986493 0.91952841 0.00000012
-0.39174587 0.75511353 0.00000198 -0.52836418 0.91952841 0.00000012
-0.39059530 0.75511355 0.00000206 -0.52686343 0.91952841 0.00000013
-0.38944472 0.75511357 0.00000214 -0.52536268 0.91952841 0.00000013
-0.38829415 0.75511359 0.00000222 -0.52386193 0.91952841 0.00000014
-0.38714357 0.75511361 0.00000230 -0.52236118 0.91952841 0.00000015
-0.38599300 0.75511363 0.00000238 -0.52086043 0.91952841 0.00000015
-0.38484242 0.75511365 0.00000247 -0.51935968 0.91952841 0.00000016
-0.38369185 0.75511367 0.00000256 -0.51785893 0.91952841 0.00000017
-0.38254127 0.75511370 0.00000266 -0.51635818 0.91952841 0.00000018
-0.38139070 0.75511372 0.00000276 -0.51485743 0.91952841 0.00000018
-0.38024012 0.75511374 0.00000286 -0.51335668 0.91952842 0.00000019
-0.37908954 0.75511377 0.00000297 -0.51185593 0.91952842 0.00000020
-0.37793897 0.75511379 0.00000308 -0.51035518 0.91952842 0.00000021
-0.37678839 0.75511382 0.00000319 -0.50885443 0.91952842 0.00000022
-0.37563782 0.75511385 0.00000331 -0.50735368 0.91952842 0.00000023
-0.37448724 0.75511388 0.00000343 -0.50585293 0.91952842 0.00000024
-0.37333667 0.75511391 0.00000355 -0.50435218 0.91952842 0.00000025
-0.37218609 0.75511394 0.00000368 -0.50285143 0.91952842 0.00000026
-0.37103552 0.75511397 0.00000382 -0.50135068 0.91952842 0.00000027
-0.36988494 0.75511400 0.00000396 -0.49984992 0.91952842 0.00000028
-0.36873437 0.75511404 0.00000410 -0.49834917 0.91952842 0.00000030
-0.36758379 0.75511407 0.00000425 -0.49684842 0.91952842 0.00000031
-0.36643322 0.75511411 0.00000441 -0.49534767 0.91952842 0.00000032
-0.36528264 0.75511415 0.00000457 -0.49384692 0.91952843 0.00000034
-0.36413207 0.75511419 0.00000473 -0.49234617 0.91952843 0.00000035
-0.36298149 0.75511423 0.00000490 -0.49084542 0.91952843 0.00000037
-0.36183092 0.75511427 0.00000508 -0.48934467 0.91952843 0.00000038
-0.36068034 0.75511431 0.00000526 -0.48784392 0.91952843 0.00000040
-0.35952976 0.75511436 0.00000545 -0.48634317 0.91952843 0.00000042
-0.35837919 0.75511440 0.00000565 -0.48484242 0.91952843 0.00000044
-0.35722861 0.75511445 0.00000585 -0.48334167 0.91952843 0.00000045
-0.35607804 0.75511450 0.00000606 -0.48184092 0.91952844 0.00000047
-0.35492746 0.75511455 0.00000628 -0.48034017 0.91952844 0.00000049
-0.35377689 0.75511461 0.00000650 -0.47883942 0.91952844 0.00000052
-0.35262631 0.75511466 0.00000673 -0.47733867 0.91952844 0.00000054
-0.35147574 0.75511472 0.00000697 -0.47583792 0.91952844 0.00000056
-0.35032516 0.75511478 0.00000722 -0.47433717 0.91952844 0.00000059
-0.34917459 0.75511484 0.00000748 -0.47283642 0.91952845 0.00000061
-0.34802401 0.75511490 0.00000774 -0.47133567 0.91952845 0.00000064
-0.34687344 0.75511497 0.00000801 -0.46983492 0.91952845 0.00000066
-0.34572286 0.75511503 0.00000830 -0.46833417 0.91952845 0.00000069
-0.34457229 0.75511510 0.00000859 -0.46683342 0.91952845 0.00000072
-0.34342171 0.75511517 0.00000889 -0.46533267 0.91952846 0.00000075
-0.34227114 0.75511525 0.00000920 -0.46383192 0.91952846 0.00000079
-0.34112056 0.75511533 0.00000953 -0.46233117 0.91952846 0.00000082
-0.33996998 0.75511540 0.00000986 -0.46083042 0.91952846 0.00000085
-0.33881941 0.75511549 0.00001020 -0.45932966 0.91952847 0.00000089
-0.33766883 0.75511557 0.00001056 -0.45782891 0.91952847 0.00000093
-0.33651826 0.75511566 0.00001093 -0.45632816 0.91952847 0.00000097
-0.33536768 0.75511575 0.00001131 -0.45482741 0.91952847 0.00000101
-0.33421711 0.75511584 0.00001170 -0.45332666 0.91952848 0.00000105
-0.33306653 0.75511594 0.00001211 -0.45182591 0.91952848 0.00000109
-0.33191596 0.75511604 0.00001252 -0.45032516 0.91952848 0.00000114
-0.33076538 0.75511614 0.00001296 -0.44882441 0.91952849 0.00000119
-0.32961481 0.75511625 0.00001340 -0.44732366 0.91952849 0.00000124
-0.32846423 0.75511636 0.00001386 -0.44582291 0.91952849 0.00000129
-0.32731366 0.75511647 0.00001434 -0.44432216 0.91952850 0.00000134
-0.32616308 0.75511658 0.00001483 -0.44282141 0.91952850 0.00000140
-0.32501251 0.75511671 0.00001534 -0.44132066 0.91952851 0.00000145
-0.32386193 0.75511683 0.00001586 -0.43981991 0.91952851 0.00000152
-0.32271136 0.75511696 0.00001641 -0.43831916 0.91952851 0.00000158
-0.32156078 0.75511709 0.00001696 -0.43681841 0.91952852 0.00000164
-0.32041021 0.75511723 0.00001754 -0.43531766 0.91952852 0.00000171
-0.31925963 0.75511737 0.00001814 -0.43381691 0.91952853 0.00000178
-0.31810905 0.75511752 0.00001875 -0.43231616 0.91952853 0.00000185
-0.31695848 0.75511767 0.00001939 -0.43081541 0.91952854 0.00000193
-0.31580790 0.75511782 0.00002004 -0.42931466 0.91952855 0.00000201
-0.31465733 0.75511798 0.00002072 -0.42781391 0.91952855 0.00000209
-0.31350675 0.75511815 0.00002141 -0.42631316 0.91952856 0.00000218
-0.31235618 0.75511832 0.00002213 -0.42481241 0.91952856 0.00000227
-0.31120560 0.75511849 0.00002287 -0.42331166 0.91952857 0.00000236
-0.31005503 0.75511868 0.00002364 -0.42181091 0.91952858 0.00000245
-0.30890445 0.75511886 0.00002443 -0.42031016 0.91952858 0.00000255
-0.30775388 0.75511906 0.00002525 -0.41880940 0.91952859 0.00000266
-0.30660330 0.75511926 0.00002609 -0.41730865 0.91952860 0.00000276
-0.30545273 0.75511946 0.00002695 -0.41580790 0.91952861 0.00000287
-0.30430215 0.75511967 0.00002785 -0.41430715 0.91952862 0.00000299
-0.30315158 0.75511989 0.00002877 -0.41280640 0.91952862 0.00000311
-0.30200100 0.75512012 0.00002972 -0.41130565 0.91952863 0.00000323
-0.30085043 0.75512035 0.00003070 -0.40980490 0.91952864 0.00000336
-0.29969985 0.75512059 0.00003172 -0.40830415 0.91952865 0.00000350
-0.29854927 0.75512084 0.00003276 -0.40680340 0.91952866 0.00000364
-0.29739870 0.75512110 0.00003384 -0.40530265 0.91952867 0.00000378
-0.29624812 0.75512136 0.00003494 -0.40380190 0.91952868 0.00000393
-0.29509755 0.75512163 0.00003609 -0.40230115 0.91952869 0.00000409
-0.29394697 0.75512191 0.00003727 -0.40080040 0.91952871 0.00000425
-0.29279640 0.75512220 0.00003848 -0.39929965 0.91952872 0.00000442
-0.29164582 0.75512250 0.00003973 -0.39779890 0.91952873 0.00000459
-0.29049525 0.75512280 0.00004103 -0.39629815 0.91952874 0.00000478
-0.28934467 0.75512312 0.00004236 -0.39479740 0.91952876 0.00000496
-0.28819410 0.75512344 0.00004373 -0.39329665 0.91952877 0.00000516
-0.28704352 0.75512378 0.00004514 -0.39179590 0.91952879 0.00000536
-0.28589295 0.75512413 0.00004660 -0.39029515 0.91952880 0.00000557
-0.28474237 0.75512448 0.00004810 -0.38879440 0.91952882 0.00000579
-0.28359180 0.75512485 0.00004964 -0.38729365 0.91952883 0.00000601
-0.28244122 0.75512523 0.00005124 -0.38579290 0.91952885 0.00000625
-0.28129065 0.75512562 0.00005288 -0.38429215 0.91952887 0.00000649
-0.28014007 0.75512602 0.00005457 -0.38279140 0.91952889 0.00000674
-0.27898949 0.75512643 0.00005631 -0.38129065 0.91952890 0.00000700
-0.27783892 0.75512686 0.00005811 -0.37978989 0.91952892 0.00000727
-0.27668834 0.75512730 0.00005995 -0.37828914 0.91952894 0.00000755
-0.27553777 0.75512775 0.00006186 -0.37678839 0.91952896 0.00000784
-0.27438719 0.75512821 0.00006382 -0.37528764 0.91952899 0.00000815
-0.27323662 0.75512869 0.00006583 -0.37378689 0.91952901 0.00000846
-0.27208604 0.75512918 0.00006791 -0.37228614 0.91952903 0.00000878
-0.27093547 0.75512969 0.00007005 -0.37078539 0.91952906 0.00000912
-0.26978489 0.75513022 0.00007226 -0.36928464 0.91952908 0.00000947
-0.26863432 0.75513075 0.00007453 -0.36778389 0.91952911 0.00000983
-0.26748374 0.75513131 0.00007686 -0.36628314 0.91952913 0.00001020
-0.26633317 0.75513188 0.00007927 -0.36478239 0.91952916 0.00001059
-0.26518259 0.75513247 0.00008174 -0.36328164 0.91952919 0.00001099
