T P_and P_or
19.600000 0.666309 0.828389
19.700000 0.665553 0.828300
19.800000 0.664769 0.828208
19.900000 0.663958 0.828113
20.000000 0.663119 0.828014
20.100000 0.662251 0.827912
20.200000 0.661356 0.827807
20.300000 0.660433 0.827698
20.400000 0.659481 0.827586
20.500000 0.658502 0.827471
20.600000 0.657495 0.827352
20.700000 0.656460 0.827231
20.800000 0.655397 0.827105
20.900000 0.654305 0.826977
21.000000 0.653186 0.826845
21.100000 0.652039 0.826710
21.200000 0.650864 0.826572
21.300000 0.649661 0.826431
21.400000 0.648430 0.826286
21.500000 0.647171 0.826138
21.600000 0.645884 0.825986
21.700000 0.644569 0.825832
21.800000 0.643226 0.825674
21.900000 0.641855 0.825512
22.000000 0.640456 0.825348
22.100000 0.639029 0.825180
22.200000 0.637575 0.825009
22.300000 0.636092 0.824834
22.400000 0.634582 0.824657
22.500000 0.633046 0.824476
22.600000 0.631484 0.824292
22.700000 0.629900 0.824106
22.800000 0.628296 0.823917
22.900000 0.626676 0.823727
23.000000 0.625047 0.823535
23.100000 0.623414 0.823343
23.200000 0.621782 0.823151
23.300000 0.620156 0.822959
23.400000 0.618538 0.822769
23.500000 0.616932 0.822580
23.600000 0.615338 0.822393
23.700000 0.613758 0.822207
23.800000 0.612191 0.822022
23.900000 0.610638 0.821840
24.000000 0.609099 0.821659
24.100000 0.607574 0.821479
24.200000 0.606064 0.821302
24.300000 0.604567 0.821126
24.400000 0.603084 0.820951
24.500000 0.601615 0.820778
24.600000 0.600160 0.820607
24.700000 0.598719 0.820438
24.800000 0.597292 0.820270
24.900000 0.595880 0.820103
25.000000 0.594481 0.819939
25.100000 0.593096 0.819776
25.200000 0.591725 0.819615
25.300000 0.590368 0.819455
25.400000 0.589025 0.819297
25.500000 0.587696 0.819141
25.600000 0.586381 0.818986
25.700000 0.585080 0.818833
25.800000 0.583793 0.818682
25.900000 0.582520 0.818532
26.000000 0.581261 0.818384
26.100000 0.580016 0.818237
26.200000 0.578785 0.818092
26.300000 0.577567 0.817949
26.400000 0.576363 0.817807
26.500000 0.575172 0.817667
26.600000 0.573991 0.817528
26.700000 0.572820 0.817391
26.800000 0.571654 0.817253
26.900000 0.570490 0.817116
27.000000 0.569321 0.816979
