Threshold,FAR,FRR,P_success,P_and_success,P_or_success
0,1.0,0.0,0.0,0.5,0.0
1,0.03125,0.07142857142857142,0.8995535714285715,0.8241071428571429,0.5743303571428572
2,0.03125,0.07142857142857142,0.8995535714285715,0.8241071428571429,0.5743303571428572
3,0.0,0.07142857142857142,0.9285714285714286,0.8357142857142857,0.5928571428571429
4,0.0,0.07142857142857142,0.9285714285714286,0.8357142857142857,0.5928571428571429
5,0.0,0.07142857142857142,0.9285714285714286,0.8357142857142857,0.5928571428571429
6,0.0,0.07142857142857142,0.9285714285714286,0.8357142857142857,0.5928571428571429
7,0.0,0.07142857142857142,0.9285714285714286,0.8357142857142857,0.5928571428571429
8,0.0,0.07142857142857142,0.9285714285714286,0.8357142857142857,0.5928571428571429
9,0.0,0.07142857142857142,0.9285714285714286,0.8357142857142857,0.5928571428571429
10,0.0,0.10714285714285714,0.8928571428571429,0.8035714285714286,0.5892857142857143
11,0.0,0.10714285714285714,0.8928571428571429,0.8035714285714286,0.5892857142857143
12,0.0,0.10714285714285714,0.8928571428571429,0.8035714285714286,0.5892857142857143
13,0.0,0.10714285714285714,0.8928571428571429,0.8035714285714286,0.5892857142857143
14,0.0,0.10714285714285714,0.8928571428571429,0.8035714285714286,0.5892857142857143
15,0.0,0.17857142857142858,0.8214285714285714,0.7392857142857143,0.5821428571428572
16,0.0,0.21428571428571427,0.7857142857142857,0.7071428571428571,0.5785714285714285
17,0.0,0.25,0.75,0.675,0.575
18,0.0,0.2857142857142857,0.7142857142857143,0.6428571428571429,0.5714285714285714
19,0.0,0.32142857142857145,0.6785714285714286,0.6107142857142858,0.5678571428571428
20,0.0,0.32142857142857145,0.6785714285714286,0.6107142857142858,0.5678571428571428
21,0.0,0.39285714285714285,0.6071428571428572,0.5464285714285715,0.5607142857142857
22,0.0,0.39285714285714285,0.6071428571428572,0.5464285714285715,0.5607142857142857
23,0.0,0.42857142857142855,0.5714285714285714,0.5142857142857142,0.5571428571428572
24,0.0,0.42857142857142855,0.5714285714285714,0.5142857142857142,0.5571428571428572
25,0.0,0.42857142857142855,0.5714285714285714,0.5142857142857142,0.5571428571428572
26,0.0,0.4642857142857143,0.5357142857142857,0.48214285714285715,0.5535714285714286
27,0.0,0.4642857142857143,0.5357142857142857,0.48214285714285715,0.5535714285714286
28,0.0,0.4642857142857143,0.5357142857142857,0.48214285714285715,0.5535714285714286
29,0.0,0.4642857142857143,0.5357142857142857,0.48214285714285715,0.5535714285714286
30,0.0,0.5357142857142857,0.4642857142857143,0.41785714285714287,0.5464285714285715
31,0.0,0.5357142857142857,0.4642857142857143,0.41785714285714287,0.5464285714285715
32,0.0,0.5357142857142857,0.4642857142857143,0.41785714285714287,0.5464285714285715
33,0.0,0.5714285714285714,0.4285714285714286,0.3857142857142858,0.5428571428571428
34,0.0,0.5714285714285714,0.4285714285714286,0.3857142857142858,0.5428571428571428
35,0.0,0.5714285714285714,0.4285714285714286,0.3857142857142858,0.5428571428571428
36,0.0,0.5714285714285714,0.4285714285714286,0.3857142857142858,0.5428571428571428
37,0.0,0.5714285714285714,0.4285714285714286,0.3857142857142858,0.5428571428571428
38,0.0,0.5714285714285714,0.4285714285714286,0.3857142857142858,0.5428571428571428
39,0.0,0.5714285714285714,0.4285714285714286,0.3857142857142858,0.5428571428571428
40,0.0,0.5714285714285714,0.4285714285714286,0.3857142857142858,0.5428571428571428
41,0.0,0.6071428571428571,0.3928571428571429,0.35357142857142865,0.5392857142857143
42,0.0,0.6071428571428571,0.3928571428571429,0.35357142857142865,0.5392857142857143
43,0.0,0.6071428571428571,0.3928571428571429,0.35357142857142865,0.5392857142857143
44,0.0,0.6071428571428571,0.3928571428571429,0.35357142857142865,0.5392857142857143
45,0.0,0.6428571428571429,0.3571428571428571,0.3214285714285714,0.5357142857142857
46,0.0,0.6428571428571429,0.3571428571428571,0.3214285714285714,0.5357142857142857
47,0.0,0.6785714285714286,0.3214285714285714,0.28928571428571426,0.5321428571428571
48,0.0,0.6785714285714286,0.3214285714285714,0.28928571428571426,0.5321428571428571
49,0.0,0.7142857142857143,0.2857142857142857,0.2571428571428571,0.5285714285714286
50,0.0,0.7142857142857143,0.2857142857142857,0.2571428571428571,0.5285714285714286
51,0.0,0.7142857142857143,0.2857142857142857,0.2571428571428571,0.5285714285714286
52,0.0,0.75,0.25,0.225,0.525
53,0.0,0.7857142857142857,0.2142857142857143,0.1928571428571429,0.5214285714285715
54,0.0,0.7857142857142857,0.2142857142857143,0.1928571428571429,0.5214285714285715
55,0.0,0.7857142857142857,0.2142857142857143,0.1928571428571429,0.5214285714285715
56,0.0,0.7857142857142857,0.2142857142857143,0.1928571428571429,0.5214285714285715
57,0.0,0.7857142857142857,0.2142857142857143,0.1928571428571429,0.5214285714285715
58,0.0,0.7857142857142857,0.2142857142857143,0.1928571428571429,0.5214285714285715
59,0.0,0.7857142857142857,0.2142857142857143,0.1928571428571429,0.5214285714285715
60,0.0,0.7857142857142857,0.2142857142857143,0.1928571428571429,0.5214285714285715
61,0.0,0.8214285714285714,0.1785714285714286,0.16071428571428575,0.5178571428571429
62,0.0,0.8571428571428571,0.1428571428571429,0.12857142857142861,0.5142857142857142
63,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
64,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
65,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
66,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
67,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
68,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
69,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
70,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
71,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
72,0.0,0.8928571428571429,0.1071428571428571,0.09642857142857139,0.5107142857142857
73,0.0,0.9285714285714286,0.0714285714285714,0.06428571428571425,0.5071428571428571
74,0.0,0.9285714285714286,0.0714285714285714,0.06428571428571425,0.5071428571428571
75,0.0,0.9285714285714286,0.0714285714285714,0.06428571428571425,0.5071428571428571
76,0.0,0.9285714285714286,0.0714285714285714,0.06428571428571425,0.5071428571428571
77,0.0,0.9285714285714286,0.0714285714285714,0.06428571428571425,0.5071428571428571
78,0.0,0.9285714285714286,0.0714285714285714,0.06428571428571425,0.5071428571428571
79,0.0,0.9642857142857143,0.0357142857142857,0.032142857142857126,0.5035714285714286
80,0.0,0.9642857142857143,0.0357142857142857,0.032142857142857126,0.5035714285714286
81,0.0,0.9642857142857143,0.0357142857142857,0.032142857142857126,0.5035714285714286
82,0.0,0.9642857142857143,0.0357142857142857,0.032142857142857126,0.5035714285714286
83,0.0,0.9642857142857143,0.0357142857142857,0.032142857142857126,0.5035714285714286
84,0.0,0.9642857142857143,0.0357142857142857,0.032142857142857126,0.5035714285714286
85,0.0,1.0,0.0,0.0,0.5
86,0.0,1.0,0.0,0.0,0.5
87,0.0,1.0,0.0,0.0,0.5
88,0.0,1.0,0.0,0.0,0.5
89,0.0,1.0,0.0,0.0,0.5
90,0.0,1.0,0.0,0.0,0.5
91,0.0,1.0,0.0,0.0,0.5
92,0.0,1.0,0.0,0.0,0.5
93,0.0,1.0,0.0,0.0,0.5
94,0.0,1.0,0.0,0.0,0.5
95,0.0,1.0,0.0,0.0,0.5
96,0.0,1.0,0.0,0.0,0.5
97,0.0,1.0,0.0,0.0,0.5
98,0.0,1.0,0.0,0.0,0.5
99,0.0,1.0,0.0,0.0,0.5
100,0.0,1.0,0.0,0.0,0.5
